Afrika	アフリカ
Japan	日本
Suid-Amerika	南アメリカ
Noorweë	ノルウェー
Engeland	イングランド
Skotland	スコットランド
Wallis	ウェールズ
Noord-Ierland	北アイルランド
Republiek van Ierland	アイルランド
Hongarye	ハンガリー
Spanje	スペイン
Verenigde State van Amerika	アメリカ合衆国
België	ベルギー
Luxemburg	ルクセンブルク
Heelal	宇宙
Aarde	地球
Lewe	生命
Dood	死
Mens	ヒト
George Washington	ジョージ・ワシントン
Tim Berners-Lee	ティム・バーナーズ＝リー
Stanley Kubrick	スタンリー・キューブリック
Wikidata	ウィキデータ
Finland	フィンランド
Swede	スウェーデン
Denemarke	デンマーク
Pole	ポーランド
Litaue	リトアニア
Italië	イタリア
Switserland	スイス
Oostenryk	オーストリア
Griekeland	ギリシャ
Turkye	トルコ
Bier	ビール
Portugal	ポルトガル
Europa	ヨーロッパ
Asië	アジア
Noord-Amerika	北アメリカ
Antarktika	南極大陸
Wikipedia	ウィキペディア
Nederland	オランダ
Penis	陰茎
PHP	PHP: Hypertext Preprocessor
New York Stad	ニューヨーク
Washington, D.C.	ワシントンD.C.
San Francisco	サンフランシスコ
Berlyn	ベルリン
Los Angeles	ロサンゼルス
Boeing	ボーイング
Airbus	エアバス
Rekenaar	コンピュータ
Bern	ベルン
Genève	ジュネーヴ
Zürich	チューリッヒ
IRC	Internet Relay Chat
Internet	インターネット
Barack Obama	バラク・オバマ
Uruguay	ウルグアイ
Basel	バーゼル
Rekenaardrukker	プリンター
MediaWiki	MediaWiki
Londen	ロンドン
Kaïro	カイロ
Alexandrië	アレクサンドリア
Appel	リンゴ
Parys	パリ
Abraham Lincoln	エイブラハム・リンカーン
Google Android	Android
Google	Google
Meksiko	メキシコ
Atlantiese Oseaan	大西洋
Stille Oseaan	太平洋
Kalifornië	カリフォルニア州
Boston	ボストン
Maandag	月曜日
Januarie	1月
Februarie	2月
Maart	3月
Mars (planeet)	火星
Kenia	ケニア
Ethiopië	エチオピア
Ghana	ガーナ
April	4月
Mei	5月
Junie	6月
Julie	7月
Augustus	8月
September	9月
Oktober	10月
November	11月
Desember	12月
Dinsdag	火曜日
Woensdag	水曜日
Donderdag	木曜日
Vrydag	金曜日
Saterdag	土曜日
Sondag	日曜日
Loper (skaak)	ビショップ
Pion (skaak)	ポーン
Ruiter (skaak)	ナイト (チェス)
Toring (skaak)	ルーク
Koning (skaak)	キング (チェス)
Dame (skaak)	クイーン (チェス)
Leeu	ライオン
Frankryk	フランス
Esperanto	エスペラント
Hond	イヌ
Verenigde Koninkryk	イギリス
Kat	ネコ
Volksrepubliek van Sjina	中華人民共和国
Frans	フランス語
WikiWoordeboek	ウィクショナリー
Vis	魚類
Etanol	エタノール
Brasilië	ブラジル
Alkohol	アルコール
François Hollande	フランソワ・オランド
Rusland	ロシア
Walvisagtiges	クジラ目
Optiese vesel	光ファイバー
Yorkshire	ヨークシャー
Vierkant	正方形
See	海
Swartsee	黒海
Pi	円周率
Pi (letter)	Π
