ܐܦܪܝܩܐ	アフリカ
ܝܦܢ	日本
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	南アメリカ
ܢܘܪܒܝܓ	ノルウェー
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	アイルランド
ܡܓܪ	ハンガリー
ܐܣܦܢܝܐ	スペイン
ܐܘܚܕܢܐ ܡܚܝܕܐ	アメリカ合衆国
ܒܠܓܝܩܐ	ベルギー
ܠܘܟܣܡܒܘܪܓ	ルクセンブルク
ܬܒܝܠ	宇宙
ܐܪܥܐ	地球
ܡܘܬܐ	死
ܒܪ ܐܢܫܐ	ヒト
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	ジョージ・ワシントン
ܦܝܢܠܢܕ	フィンランド
ܣܘܝܕ	スウェーデン
ܕܐܢܡܐܪܩ	デンマーク
ܦܘܠܢܕ	ポーランド
ܠܬܘܢܝܐ	リトアニア
ܐܝܛܠܝܐ	イタリア
ܣܘܝܣܪܐ	スイス
ܢܡܣܐ	オーストリア
ܝܘܢ	ギリシャ
ܛܘܪܩܝܐ	トルコ
ܦܘܪܛܘܓܠ	ポルトガル
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	ヨーロッパ
ܐܣܝܐ (ܝܒܫܬܐ)	アジア
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	北アメリカ
ܐܢܛܐܪܩܛܝܩܐ	南極大陸
ܘܝܩܝܦܕܝܐ	ウィキペディア
ܗܘܠܢܕܐ	オランダ
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	ニューヨーク
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	ワシントンD.C.
ܒܪܠܝܢ	ベルリン
ܚܫܘܒܐ (ܡܐܟܢܐ)	コンピュータ
ܒܪܢ	ベルン
ܬܣܝܪܝܟ	チューリッヒ
ܐܢܛܪܢܛ	インターネット
ܒܪܐܩ ܐܘܒܐܡܐ	バラク・オバマ
ܠܘܢܕܘܢ	ロンドン
ܐܠܟܣܢܕܪܝܐ	アレクサンドリア
ܚܙܘܪܐ	リンゴ
ܦܐܪܝܣ	パリ
ܡܟܣܝܩܘ	メキシコ
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	大西洋
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	太平洋
ܒܘܣܛܘܢ	ボストン
ܬܪܝܢܒܫܒܐ	月曜日
ܟܢܘܢ ܒ	1月
ܫܒܛ	2月
ܐܕܪ	3月
ܟܘܫ	エチオピア
ܢܝܣܢ	4月
ܐܝܪ	5月
ܚܙܝܪܢ	6月
ܬܡܘܙ	7月
ܐܒ	8月
ܐܝܠܘܠ	9月
ܬܫܪܝܢ ܐ	10月
ܬܫܪܝܢ ܒ	11月
ܟܢܘܢ ܐ	12月
ܬܠܬܒܫܒܐ	火曜日
ܐܪܒܥܒܫܒܐ	水曜日
ܚܡܫܒܫܒܐ	木曜日
ܥܪܘܒܬܐ	金曜日
ܫܒܬܐ (ܙܒܢܐ)	土曜日
ܚܕܒܫܒܐ	日曜日
ܐܪܝܐ	ライオン
ܦܪܢܣܐ	フランス
ܟܠܒܐ	イヌ
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	イギリス
ܩܛܐ	ネコ
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	中華人民共和国
ܠܫܢܐ ܦܪܢܣܝܐ	フランス語
ܒܪܐܙܝܠ	ブラジル
ܪܘܣܝܐ	ロシア
ܝܡܐ	海
ܝܡܐ ܐܘܟܡܐ	黒海
Π	Π
ܐܠܒܐܡܐ	アラバマ州
ܣܐܘ ܦܐܘܠܘ	サンパウロ
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	ケベック州
ܓܪܡܢ	ドイツ
ܒܠܐܪܘܣ	ベラルーシ
ܠܫܢܐ ܓܪܡܢܝܐ	ドイツ語
ܐܠܗܐ	神
ܐܣܛܘܢܝܐ	エストニア
ܛܝܣܬܐ	飛行機
ܩܪܒܐ	戦争
1 (ܡܢܝܢܐ)	1
2 (ܡܢܝܢܐ)	2
3 (ܡܢܝܢܐ)	3
4 (ܡܢܝܢܐ)	4
5 (ܡܢܝܢܐ)	5
