ཨ་ཧྥེ་རི་ཁ།	アフリカ
ཉི་ཧོང་།	日本
ནོར་ཝེ།	ノルウェー
སི་ཁོ་ཁྲི་ལན་ཌི།	スコットランド
ཨར་ལེན་ཌ།	アイルランド
ཧུང་གྷ་རི།	ハンガリー
ཞི་པན་ཡ།	スペイン
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	アメリカ合衆国
པེར་ཅིན།	ベルギー
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	ルクセンブルク
སའི་གོ་ལ།	地球
འཚོ་བ།	生命
ཤི་བ།	死
འགྲོ་བ་མི།	ヒト
དགའ་སྐྱིད།	幸福
ཧྥིན་ལན།	フィンランド
སི་ཝེ་དེན།	スウェーデン
དན་མྲག	デンマーク
ཕོ་ལན།	ポーランド
ལི་ཐུ་ཨེ་ནི་ཡ།	リトアニア
ཨི་ཏ་ལི།	イタリア
སུད་སི།	スイス
ཨོ་སི་ཐྲི་ཡ།	オーストリア
ཀེ་རི་སི།	ギリシャ
ཏུར་ཀི།	トルコ
སྦི་རག	ビール
པོ་ཅུ་གྷལ།	ポルトガル
ཡོ་རོབ་གླིང་།	ヨーロッパ
ཨེ་ཤེ་ཡ།	アジア
ལྷོ་མཐའི་གླིང་།	南極大陸
ཧོ་ལན།	オランダ
ནེའུ་ཡོར་ཀ།	ニューヨーク
ཝ་ཤིན་ཏྲོན།	ワシントンD.C.
སན་ཧྥུ་རན་སིས་ཁོ	サンフランシスコ
པེར་ལིན།	ベルリン
གློག་ཀླད།	コンピュータ
པེར་ནེ།	ベルン
ཀྲེ་ནེ་ཝ།	ジュネーヴ
བ་རག་ཨོ་པྰ་མ།	バラク・オバマ
ཨུ་རུ་གུ་ཡེ།	ウルグアイ
པ་སེལ།	バーゼル
ལོན་ཊོན།	ロンドン
ཁ་ཡི་རོ	カイロ
ཡ་ལི་ཧྲན་ད	アレクサンドリア
ཕ་རི།	パリ
མེག་སི་ཀོ།	メキシコ
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	大西洋
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	太平洋
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	カリフォルニア州
བོ་སེ་ཊོན།	ボストン
གཟའ་ཟླ་བ།	月曜日
མིག་དམར།	火星
མ་ཨེར་སི།	マールス
ཁེ་ནི་ཡ།	ケニア
ཨི་ཐི་ཨོ་པི་ཡ།	エチオピア
ཀ་ན།	ガーナ
གཟའ་མིག་དམར།	火曜日
གཟའ་ལྷག་པ།	水曜日
གཟའ་ཕུར་བུ།	木曜日
གཟའ་པ་སངས།	金曜日
གཟའ་སྤེན་པ།	土曜日
གཟའ་ཉི་མ།	日曜日
སེང་གེ།	ライオン
ཧྥ་རན་སི།	フランス
ཁྱི།	イヌ
དབྱིན་ཇི་མཉམ་འབྲེལ།	イギリス
ཞི་མི།	ネコ
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	中華人民共和国
ཧྥ་རན་སིའི་སྐད།	フランス語
ཉ།	魚類
ཨ་རག་ཉིང་ཁུ།	エタノール
པུ་རུ་ཟིལ།	ブラジル
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	フランソワ・オランド
ཨུ་རུ་སུ།	ロシア
ཕའེ།	Π
ཨ་ལ་པ་མ།	アラバマ州
སན་པའུ་ལོ་	サンパウロ
འཇར་མན།	ドイツ
བྷེ་ལ་རསུ།	ベラルーシ
འཇར་མན་སྐད།	ドイツ語
ཨཡིསུ་ལེན་ཌ།	アイスランド
ཨིསུ་ཊོ་ནིཡ།	エストニア
སྤེན་པ།	土星
སྤེན་པའི་གདུབ་ཀོར།	土星の環
སེའུ།	サクランボ
དམག་འཁྲུག	戦争
༡ (གྲངས་ཀ།)	1
༢ (གྲངས་ཀ།)	2
༣ (གྲངས་ཀ།)	3
༤ (གྲངས་ཀ།)	4
༥ (གྲངས་ཀ།)	5
༠ (གྲངས་ཀ།)	0
ལ་ཊ་ཝིཡ།	ラトビア
ཨུཀ་རཡི་ནི།	ウクライナ
ཅེ་ཁེ།	チェコ
སི་ལོ་ཕ་ཁེ།	スロバキア
སི་ལོ་ཝེ་ནི་ཡ།	スロベニア
ལྦེ་ནི་སུ་ནི།	ヴィリニュス
མོལ་དོ་ཝ།	モルドバ
རོ་མ་ནི་ཡ།	ルーマニア
པུ་ར་ག་རི་ཡ།	ブルガリア
རོ་མ།	ローマ
མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	マケドニア共和国
ཨལ་པ་ཉི་ཡ།	アルバニア
གེ་རེན་ལ	グリーンランド
ཁུརོ་ཤི་ཡ།	クロアチア
བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	ボスニア・ヘルツェゴビナ
ཨ་ཛར་བཡི་ཇན།	アゼルバイジャン
ཨན་ཌོར་ར།	アンドラ
སེ་པི་རི་སི།	キプロス
འཇོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	グルジア
ཀཛ་ཀིསུ་གཏན།	カザフスタン
མལ་ཏ།	マルタ
མོ་ན་ཁོ།	モナコ
མོན་ཊེནིག་རོ།	モンテネグロ
ཝ་ཏི་ཀན་གྲོང་ཁྱོར།	バチカン
སན་མ་རི་ནོ།	サンマリノ
པུའུ་ལུའུ་སེལ​།	ブリュッセル
ཀུ་བ།	キューバ
བེ་ལི་ཛི།	ベリーズ
བར་བ་ཌོ་སི།	バルバドス
