Afrika	アフリカ
Japan	日本
Južna Amerika	南アメリカ
Norveška	ノルウェー
Engleska	イングランド
Škotska	スコットランド
Vels	ウェールズ
Sjeverna Irska	北アイルランド
Republika Irska	アイルランド
Mađarska	ハンガリー
Španija	スペイン
Sjedinjene Američke Države	アメリカ合衆国
Belgija	ベルギー
Luksemburg	ルクセンブルク
Svemir	宇宙
Zemlja (planeta)	地球
Život	生命
Smrt	死
Čovjek	ヒト
Triskaidekafobija	13 (忌み数)
George Washington	ジョージ・ワシントン
Douglas Adams	ダグラス・アダムズ
Tim Berners-Lee	ティム・バーナーズ＝リー
Stanley Kubrick	スタンリー・キューブリック
Wikipodaci	ウィキデータ
Finska	フィンランド
Švedska	スウェーデン
Danska	デンマーク
Poljska	ポーランド
Litvanija	リトアニア
Italija	イタリア
Švicarska	スイス
Austrija	オーストリア
Grčka	ギリシャ
Turska	トルコ
Pivo	ビール
Portugal	ポルトガル
Evropa	ヨーロッパ
Azija	アジア
Sjeverna Amerika	北アメリカ
Antarktik	南極大陸
Wikipedia	ウィキペディア
Holandija	オランダ
Penis	陰茎
PHP	PHP: Hypertext Preprocessor
New York City	ニューヨーク
Washington, D.C.	ワシントンD.C.
San Francisco	サンフランシスコ
Berlin	ベルリン
Los Angeles	ロサンゼルス
Boeing	ボーイング
Airbus	エアバス
Računar	コンピュータ
Bern	ベルン
Ženeva	ジュネーヴ
Zürich (grad)	チューリッヒ
Internet Relay Chat	Internet Relay Chat
Internet	インターネット
Barack Obama	バラク・オバマ
Urugvaj	ウルグアイ
Basel	バーゼル
Pisač	プリンター
MediaWiki	MediaWiki
London	ロンドン
Kairo	カイロ
Glavobolja	頭痛
Aleksandrija	アレクサンドリア
Jabuka	リンゴ
Pariz	パリ
Abraham Lincoln	エイブラハム・リンカーン
Android (operativni sistem)	Android
Google	Google
Meksiko	メキシコ
Atlantski okean	大西洋
Tihi okean	太平洋
Kalifornija	カリフォルニア州
Boston	ボストン
Ponedjeljak	月曜日
Prostor	空間
Januar	1月
Februar	2月
Mart	3月
Mars	火星
Mars (mitologija)	マールス
Kenija	ケニア
Etiopija	エチオピア
Monarh (titula)	君主
Gana	ガーナ
April	4月
Maj	5月
Juni	6月
Juli	7月
August	8月
Septembar	9月
Oktobar	10月
Novembar	11月
Decembar	12月
Utorak	火曜日
Srijeda	水曜日
Četvrtak	木曜日
Petak	金曜日
Subota	土曜日
Nedjelja	日曜日
Lovac (šah)	ビショップ
Pješak (šah)	ポーン
Skakač (šah)	ナイト (チェス)
Top (šah)	ルーク
Kralj (šah)	キング (チェス)
Dama (šah)	クイーン (チェス)
Lav	ライオン
Francuska	フランス
Esperanto	エスペラント
