Aafrika	アフリカ
Jaapan	日本
Lõuna-Ameerika manner	南アメリカ
Norra	ノルウェー
Inglismaa	イングランド
Šotimaa	スコットランド
Wales	ウェールズ
Põhja-Iirimaa	北アイルランド
Iirimaa	アイルランド
Ungari	ハンガリー
Hispaania	スペイン
Ameerika Ühendriigid	アメリカ合衆国
Belgia	ベルギー
Luksemburg	ルクセンブルク
Universum	宇宙
Maa (planeet)	地球
Elu	生命
Surm	死
Inimene	ヒト
George Washington	ジョージ・ワシントン
Douglas Adams	ダグラス・アダムズ
Tim Berners-Lee	ティム・バーナーズ＝リー
Leet	Leet
Imagine	イマジン (ジョン・レノンの曲)
Stanley Kubrick	スタンリー・キューブリック
Wikidata	ウィキデータ
Soome	フィンランド
Rootsi	スウェーデン
Taani	デンマーク
Poola	ポーランド
Leedu	リトアニア
Itaalia	イタリア
Šveits	スイス
Austria	オーストリア
Kreeka	ギリシャ
Türgi	トルコ
Õlu	ビール
Portugal	ポルトガル
Euroopa	ヨーロッパ
Aasia	アジア
Põhja-Ameerika manner	北アメリカ
Antarktis	南極大陸
Vikipeedia	ウィキペディア
All your base are belong to us	All your base are belong to us
Holland	オランダ
Suguti	陰茎
PHP	PHP: Hypertext Preprocessor
New York	ニューヨーク
Washington	ワシントンD.C.
San Francisco	サンフランシスコ
Berliin	ベルリン
Los Angeles	ロサンゼルス
Boeing	ボーイング
Airbus	エアバス
Arvuti	コンピュータ
Bern	ベルン
Genf	ジュネーヴ
Zürich	チューリッヒ
IRC	Internet Relay Chat
Internet	インターネット
Barack Obama	バラク・オバマ
Uruguay	ウルグアイ
Basel	バーゼル
Printer	プリンター
MediaWiki	MediaWiki
London	ロンドン
Kairo	カイロ
Peavalu	頭痛
Aleksandria	アレクサンドリア
Õun	リンゴ
Pariis	パリ
Abraham Lincoln	エイブラハム・リンカーン
Android (operatsioonisüsteem)	Android
Google	Google
Mehhiko	メキシコ
Atlandi ookean	大西洋
Vaikne ookean	太平洋
California	カリフォルニア州
Boston	ボストン
Esmaspäev	月曜日
Ruum	空間
Jaanuar	1月
Veebruar	2月
Märts	3月
Marss	火星
Mars	マールス
Keenia	ケニア
Etioopia	エチオピア
Monarh	君主
Ghana	ガーナ
Aprill	4月
Mai	5月
Juuni	6月
Juuli	7月
August	8月
September	9月
Oktoober	10月
November	11月
Detsember	12月
Teisipäev	火曜日
Kolmapäev	水曜日
Neljapäev	木曜日
Reede	金曜日
Laupäev	土曜日
Pühapäev	日曜日
Oda (male)	ビショップ
Ettur	ポーン
Ratsu	ナイト (チェス)
Vanker (male)	ルーク
Kuningas (male)	キング (チェス)
Lipp (male)	クイーン (チェス)
Lõvi	ライオン
Prantsusmaa	フランス
Esperanto	エスペラント
Koer	イヌ
Suurbritannia	イギリス
Kass	ネコ
Hiina	中華人民共和国
Prantsuse keel	フランス語
Vikisõnastik	ウィクショナリー
Kalad	魚類
Etanool	エタノール
Alkohoolne jook	酒
Brasiilia	ブラジル
Alkoholid	アルコール
François Hollande	フランソワ・オランド
Venemaa	ロシア
Vaalalised	クジラ目
Kiud	繊維
Valgusjuhe	光ファイバー
Yorkshire	ヨークシャー
Ruut	正方形
Meri	海
Must meri	黒海
Pii	円周率
Pii (täht)	Π
Viki	ウィキ
Toronto	トロント
Alabama	アラバマ州
São Paulo	サンパウロ
São Paulo osariik	サンパウロ州
Québec	ケベック州
Pitsa	ピザ
Pasta	パスタ
Boeing 747	ボーイング747
Wikimedia Foundation	ウィキメディア財団
Jimmy Wales	ジミー・ウェールズ
Saksamaa	ドイツ
Valgevene	ベラルーシ
Saksa keel	ドイツ語
Island	アイスランド
Jumal	神
Eesti	エストニア
David Cameron	デーヴィッド・キャメロン
Saturn	土星
Šokolaad	チョコレート
Kirss	サクランボ
Lennuk	飛行機
Sõda	戦争
Üks	1
Kaks	2
Kolm	3
Null	0
Lõpmatus	無限
Stephen Harper	スティーヴン・ハーパー
George W. Bush	ジョージ・W・ブッシュ
Ristkülik	長方形
Täisnurk	直角
Läti	ラトビア
Ukraina	ウクライナ
Tšehhi	チェコ
Slovakkia	スロバキア
Sloveenia	スロベニア
Vilnius	ヴィリニュス
Moldova	モルドバ
Rumeenia	ルーマニア
Bulgaaria	ブルガリア
Rooma	ローマ
Makedoonia	マケドニア共和国
Albaania	アルバニア
Gröönimaa	グリーンランド
Horvaatia	クロアチア
Bosnia ja Hertsegoviina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Aserbaidžaan	アゼルバイジャン
Andorra	アンドラ
Küpros	キプロス
Gruusia	グルジア
Valloonia	ワロン地域
Kasahstan	カザフスタン
Malta	マルタ
Monaco	モナコ
Montenegro	モンテネグロ
Vatikan	バチカン
San Marino	サンマリノ
Brüssel	ブリュッセル市
Pealinna Brüsseli piirkond	ブリュッセル
Kuuba	キューバ
Belize	ベリーズ
Eiffeli torn	エッフェル塔
Barbados	バルバドス
Raspberry Pi	Raspberry Pi
Volkswagen	フォルクスワーゲン
Volkswagen Golf	フォルクスワーゲン・ゴルフ
Intel	インテル
Sõrmistik	キーボード (コンピュータ)
Java	Java
Indoneesia	インドネシア
QWERTY	QWERTY配列
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
Türgi keel	トルコ語
Lõuna-Aafrika Vabariik	南アフリカ共和国
Jean-François Champollion	ジャン＝フランソワ・シャンポリオン
Linkin Park	リンキン・パーク
Alžeeria	アルジェリア
Vikitekstid	ウィキソース
Sandy (orkaan)	ハリケーン・サンディ
Usbekistan	ウズベキスタン
Huulhein	モウセンゴケ属
Poznań	ポズナン
Taškent	タシュケント
Varssavi	ワルシャワ
Islay	アイラ島
Forthi sild	フォース鉄道橋
Eurovisiooni lauluvõistlus	ユーロビジョン・ソング・コンテスト
Modena	モデナ
Viski	ウイスキー
Vein	ワイン
Vesi	水
Konjak	コニャック
Nahk (materjal)	皮革
Puit	木材
Tours	トゥール (アンドル＝エ＝ロワール県)
Televisioon	テレビ
Pornograafia	ポルノグラフィ
Islandi keel	アイスランド語
Claude Monet	クロード・モネ
Diego Velázquez	ディエゴ・ベラスケス
Tšiili	チリ
El Greco	エル・グレコ
Jeesus	イエス・キリスト
Elvis Presley	エルヴィス・プレスリー
Ihunuhtlus	体罰
Sebastián Piñera	セバスティアン・ピニェラ
Galileo Galilei	ガリレオ・ガリレイ
Merkuur	水星
Ajalugu	歴史
Père-Lachaise'i kalmistu	ペール・ラシェーズ墓地
Apple Inc.	アップル インコーポレイテッド
Veenus	金星
Keel	言語
Armastus	愛
Diktatuur	独裁政治
Galaktika	銀河
Jupiter	木星
Michelle Bachelet	ミシェル・バチェレ
Linnutee galaktika	銀河系
Llanfair­pwllgwyn­gyllgo­gery­chwyrn­drobwll­llanty­silio­gogo­goch	ランヴァイル・プルグウィンギル・ゴゲリフウィルンドロブル・ランティシリオゴゴゴホ
Suur Pauk	ビッグバン
Uraan (planeet)	天王星
Eduardo Frei Ruiz-Tagle	エドゥアルド・フレイ・ルイスタグレ
Bretagne'i poolsaar	ブルターニュ
Ingliskeelne Vikipeedia	英語版ウィキペディア
Nicolas Sarkozy	ニコラ・サルコジ
Ricardo Lagos	リカルド・ラゴス
Neptuun	海王星
Astronoomia	天文学
Singapur	シンガポール
Teadus	科学
Kosmoloogia	宇宙論
Pluuto	冥王星
Montréal	モントリオール
Vaba tarkvara	フリーソフトウェア
Quimper	カンペール
Tulevik	未来
Maarja	イエスの母マリア
Louis IX	ルイ9世 (フランス王)
Liechtenstein	リヒテンシュタイン
Ajakapsel	タイムカプセル
Sport	スポーツ
Cambridge	ケンブリッジ
Yellowstone'i rahvuspark	イエローストーン国立公園
Adolf Hitler	アドルフ・ヒトラー
Facebook	Facebook
WikiLeaks	ウィキリークス
Julian Assange	ジュリアン・アサンジ
Esimene maailmasõda	第一次世界大戦
Teine maailmasõda	第二次世界大戦
Köln	ケルン
Korruptsioon	汚職
Vikiõpikud	ウィキブックス
Augusto Pinochet	アウグスト・ピノチェト
Vikitsitaadid	ウィキクォート
Vikiülikool	ウィキバーシティ
!!!	!!!
Wikivoyage	ウィキボヤージュ
Viin (jook)	ウォッカ
Kell	時計
Janka Kupała	ヤンカ・クパーラ
Ubuntu	Ubuntu
Skopje	スコピエ
Gdynia	グディニャ
Linux	Linux
Bob Dylan	ボブ・ディラン
Szczecin	シュチェチン
Matemaatika	数学
U2	U2
Ladina keel	ラテン語
Bahrein	バーレーン
Armeenia	アルメニア
Jenna Jameson	ジェナ・ジェイムソン
Kiilkiri	楔形文字
Higgsi boson	ヒッグス粒子
Serbia	セルビア
Kuu	月
İstanbul	イスタンブル
