Afirik	アフリカ
Norwees	ノルウェー
Irlannda	アイルランド
Hunngariya	ハンガリー
Hispaanya	スペイン
Dowlaaji Dentuɗi	アメリカ合衆国
Beljik	ベルギー
Luksammbuur	ルクセンブルク
Suwed	スウェーデン
Poloonya	ポーランド
Lituwaniya	リトアニア
Italiya	イタリア
Suwis	スイス
Portokeesi	ポルトガル
Yuroopu	ヨーロッパ
Aasiya	アジア
Wikipeediya	ウィキペディア
Holannda	オランダ
Kenya	ケニア
Gana	ガーナ
Faransi	フランス
Esperanto	エスペラント
Faransinkoore	フランス語
Roosiya	ロシア
Almaanya	ドイツ
Belaruusiya	ベラルーシ
Almankoore	ドイツ語
Islannda	アイスランド
Estoniya	エストニア
Go’o	1
Ɗiɗi	2
Tati	3
Nayi	4
Jowi	5
Ukrayiina	ウクライナ
Sulowakiya	スロバキア
Suloweniya	スロベニア
Moldowa	モルドバ
Romaniya	ルーマニア
Bulgariya	ブルガリア
Masedoniya	マケドニア共和国
Albaniya	アルバニア
Korowaasiya	クロアチア
Bosniya	ボスニア・ヘルツェゴビナ
Anndoora	アンドラ
Montenegro	モンテネグロ
Watikan	バチカン
Aljeri	アルジェリア
Ndiyam	水
Ciile	チリ
Sinngapuur	シンガポール
Armaaniya	アルメニア
Serbiya	セルビア
Lewru	月
Peru	ペルー
Alqur'aana	クルアーン
Naange	太陽
Njuɓɓudi naangeyankoori	太陽系
East Timor	東ティモール
Nawru	ナウル
Fiiji	フィジー
Ndimaagu	知恵
Aameerik	アメリカ州
Wiyetnam	ベトナム
Maali	マリ共和国
Anngolaa	アンゴラ
Togo	トーゴ
Benen	ベナン
Botswana	ボツワナ
Burkina Faso	ブルキナファソ
Burunndi	ブルンジ
Gine Ekwatoriyal	赤道ギニア
Eritereya	エリトリア
Gabon	ガボン
Gammbi	ガンビア
Gine	ギニア
Gine-Bisaawo	ギニアビサウ
Kodduwaar	コートジボワール
Kamerun	カメルーン
Kapu Werde	カーボベルデ
Labiriyaa	リベリア
Muritani	モーリタニア
Mozammbik	モザンビーク
Namibiya	ナミビア
Niiser	ニジェール
Niiseriya	ナイジェリア
Senegaal	セネガル
Sarliyon	シエラレオネ
Somaaliya	ソマリア
Uetersen	ユーテルゼン
Ho Chi Minh City	ホーチミン市
Egilis Haqiiqaajo mo Iisaa Almasiihu	真イエス教会
Đồng Hới	ドンホイ
Kurów	クルフ
Maayo Niil	ナイル川
Maayo Jaaliba	ニジェール川
Nouakchott	ヌアクショット
Konaakiri	コナクリ
Osasco	オザスコ (サンパウロ州)
Aéroport de Dong Hoi	ドンホイ空港
Curitiba	クリチバ
Catégorie:Hisaabu	Category:数学
Duungal	大陸
Monzón	モンソン
Almazán	アルマサン
Saggitorde huuɓnude	百科事典
Hello jaɓɓorgo	メインページ
Catégorie:Candidates for speedy deletion	Category:即時削除対象のページ
Carl Friedrich Gauss	カール・フリードリヒ・ガウス
Qin Shi Huang	始皇帝
Ndenndaandi	共和制
Leydi	国家
Riisinkoore	ロシア語
UNESCO	国際連合教育科学文化機関
Nelson Manndelaa	ネルソン・マンデラ
Dewgal	結婚
Nelaaɗo Muhammadu	ムハンマド・イブン＝アブドゥッラーフ
Ronald Reagan	ロナルド・レーガン
Kudaku	ジャガイモ
Limle	数
Masarji	トウモロコシ
Ngaluuji leydi	国の一覧
Modèle:Link FA	Template:Link FA
Wikipedia:Accueil	Wikipedia:井戸端
Joweenayi	9
Bien Hoa	ビエンホア
Nha Trang	ニャチャン
Vung Tau	ブンタウ
Bahai	バハーイー教
Joweeɗiɗi	7
Joweetati	8
Joweego	6
Paltoga	パルトガ
Entrena	エントレナ
Sappo	10
Aéroport de Cam Ranh	カムラン国際空港
Nowy Dwór Królewski	ノヴィ・ドゥヴル・クルレフスキ
Ca Mau	カマウ
Da Nang	ダナン
Fulfulde	フラニ語
Cirgu	ヒョウ
Ido	イド語
Sappo e ɗiɗi	12
Sappo e go’o	11
Sappo e tati	13
Teemerre	100
Miliyonji	1000000
Sappo e nay	14
Sappo e jowi	15
Sappo e joweetati	18
Ciifol Gaaza	ガザ地区
Sappo e joweenay	19
Sappo e joweeɗiɗi	17
Sappo e joweego	16
Noogas	20
Cappanɗe nayi	40
Cappanɗe tati	30
Booro	1000
Montehermoso	モンテエルモーソ
Lacuna Coil	ラクーナ・コイル
Cappanɗe joweego	60
Coronel Fabriciano	コロネル・ファブリシアーノ
Ahmed Seeku Tuuree	セク・トゥーレ
Aamadu Tumani Tuure	アマドゥ・トゥマニ・トゥーレ
Tigranes II	ティグラネス2世
Pullo	フラニ族
Lansana Konte	ランサナ・コンテ
Teemeɗɗe jowi	500
Cappanɗe joweenayi	90
Teemeɗɗe joweego	600
Booro sappo	10000
Paramore	パラモア
Aéroport de Tan Son Nhat	タンソンニャット国際空港
Buford	ビュフォード (ワイオミング州)
Cappanɗe joweetati	80
Noogas e go’o	21
Noogas e ɗiɗi	22
Cappanɗe joweeɗiɗi	70
Cappanɗe jowi	50
Teemeɗɗe ɗiɗi	200
Teemeɗɗe joweeɗiɗi	700
Teemeɗɗe joweenayi	900
Teemeɗɗe joweetati	800
Aéroport de Da Nang	ダナン国際空港
Pigazzano	ピガッツァーノ
Adradas	アドラーダス
Medford	メドフォード (オレゴン州)
Fuuta Jaloo	フータ・ジャロン
Aéroport de Ca Mau	カマウ空港
Labe	ラベ
Fonnye	フォニオ
Teemeɗɗe tati	300
Catégorie:Roosiya	Category:ロシア
Catégorie:Hispaanya	Category:スペイン
Catégorie:Vietnam	Category:ベトナム
Catégorie:Taariika	Category:歴史
Catégorie:Mbaalaandi	Category:地理
Catégorie:Diina	Category:宗教
Catégorie:Siyansi	Category:科学
Teemeɗɗe nayi	400
Catégorie:Duungal	Category:大陸
Catégorie:Leydi	Category:国
Wikipedia:Administrateurs	Wikipedia:管理者
Catégorie:Yimɓe	Category:人物
Modèle:Bot	Template:Bot
Wikipedia:Copyrights	Wikipedia:著作権
Catégorie:Yuroopu	Category:ヨーロッパ
Modèle:Documentation	Template:Documentation
Catégorie:Babel	Category:言語別の利用者
Sung Jae-gi	成在基
Modèle:Softredirect	Template:Softredirect
Modèle:Db	Template:即時削除
Catégorie:Wikipeediya	Category:ウィキペディア
Wikipedia:Statistiques	Wikipedia:統計
Modèle:!	Template:!
Modèle:Clear	Template:Clear
Catégorie:Afirik	Category:アフリカ
Catégorie:Limle	Category:数
Modèle:Babel	Template:Babel
Modèle:Commons	Template:Commons
Modèle:Stub	Template:Stub
Modèle:User af-1	Template:User af-1
Modèle:User ar-1	Template:User ar-1
Modèle:User ast-1	Template:User ast-1
Modèle:User az	Template:User az
Modèle:User eo-1	Template:User eo-1
Modèle:User da-2	Template:User da-2
Modèle:User da	Template:User da
Modèle:User ca-1	Template:User ca-1
Modèle:User be-2	Template:User be-2
Modèle:User da-1	Template:User da-1
Modèle:User cs-1	Template:User cs-1
Modèle:User bg-1	Template:User bg-1
Modèle:User eo-3	Template:User eo-3
Modèle:User de	Template:User de
Modèle:User de-1	Template:User de-1
Modèle:User eu	Template:User eu
Modèle:User et-1	Template:User et-1
Modèle:User es	Template:User es
Modèle:User de-3	Template:User de-3
Modèle:User en-3	Template:User en-3
Modèle:User en-1	Template:User en-1
Modèle:User en-2	Template:User en-2
Modèle:User eo-2	Template:User eo-2
Modèle:User en-4	Template:User en-4
Modèle:User fi	Template:User fi
Modèle:User en-0	Template:User en-0
Modèle:User es-4	Template:User es-4
Modèle:User en	Template:User en
Modèle:User de-2	Template:User de-2
Modèle:User es-1	Template:User es-1
Modèle:User fr-1	Template:User fr-1
Modèle:User ia-2	Template:User ia-2
Modèle:User he-1	Template:User he-1
Modèle:User io-3	Template:User io-3
Modèle:User it-3	Template:User it-3
Modèle:User ja-4	Template:User ja-4
Modèle:User sk	Template:User sk
Modèle:User tr-2	Template:User tr-2
Modèle:User fr-2	Template:User fr-2
Modèle:User tr	Template:User tr
Modèle:User ja	Template:User ja
Modèle:User ja-1	Template:User ja-1
Modèle:User it-1	Template:User it-1
Modèle:User hr-1	Template:User hr-1
Modèle:User fr	Template:User fr
Modèle:User he	Template:User he
Catégorie:Aasiya	Category:アジア
Catégorie:User uk	Category:User uk
Modèle:Mod	Template:Mod
Modèle:User sv	Template:User sv
Modèle:User it	Template:User it
Modèle:User es-2	Template:User es-2
Catégorie:User fr-1	Category:User fr-1
Modèle:Official website	Template:Official
Catégorie:User en-4	Category:User en-4
Catégorie:User en	Category:User en
Catégorie:User zh	Category:User zh
Catégorie:User zh-N	Category:User zh-N
Catégorie:User en-2	Category:User en-2
Modèle:User eo	Template:User eo
Modèle:User zh	Template:User zh
Modèle:User ru-4	Template:User ru-4
Modèle:User nl-1	Template:User nl-1
Modèle:User nl-2	Template:User nl-2
Modèle:User ru	Template:User ru
Catégorie:Aameerik	Category:アメリカ
Modèle:Ɗemngal e innde mun	Template:LangWithName
Modèle:User eo-4	Template:User eo-4
Modèle:User pt-1	Template:User pt-1
Modèle:User pl	Template:User pl
Modèle:User nl	Template:User nl
Modèle:User no-2	Template:User no-2
Modèle:Ɗemngal-de	Template:Lang-de
Modèle:User fr-3	Template:User fr-3
Modèle:User lt	Template:User lt
Modèle:Oppose	Template:反対
Modèle:User ar-2	Template:User ar-2
Modèle:User ar-3	Template:User ar-3
Modèle:User ar	Template:User ar
Modèle:User fr-0	Template:User fr-0
Catégorie:User ja-N	Category:User ja-N
Modèle:User als	Template:User als
Modèle:URL	Template:URL
Modèle:User no	Template:User no
Modèle:Ɗemngal-fr	Template:Lang-fr
Modèle:User pt-3	Template:User pt-3
Modèle:User pt-2	Template:User pt-2
Modèle:User fr-4	Template:User fr-4
Modèle:User eo-0	Template:User eo-0
Catégorie:User az	Category:User az
Catégorie:User be	Category:User be
Catégorie:User hr	Category:User hr
