ʻApelika	アフリカ
Iāpana	日本
‘Amelika Hema	南アメリカ
Nolewai	ノルウェー
ʻIlelani	アイルランド
Hunakalia	ハンガリー
Sepania	スペイン
‘Amelika Hui Pū ‘ia	アメリカ合衆国
Pelekiuma	ベルギー
Lukemapuka	ルクセンブルク
Honua	地球
Keoki Wakinekona	ジョージ・ワシントン
Pinilana	フィンランド
Kuekene	スウェーデン
Kenemaka	デンマーク
Pōlani	ポーランド
Lituania	リトアニア
ʻĪkālia	イタリア
Kuikilani	スイス
ʻAukekulia	オーストリア
Helene	ギリシャ
Tureke	トルコ
Potugala	ポルトガル
‘Eulopa	ヨーロッパ
‘Ākia	アジア
‘Amelika ‘Ākau	北アメリカ
‘Ane‘ālika	南極大陸
Wikipikia	ウィキペディア
Hōlani	オランダ
Wakinekona, D.C.	ワシントンD.C.
Kapalakiko	サンフランシスコ
Pelelina	ベルリン
Barack Obama	バラク・オバマ
Lākana	ロンドン
Palika	パリ
Mekiko	メキシコ
Moana ʻAkelanika	大西洋
Moana Pākīpika	太平洋
Kaleponi	カリフォルニア州
Pokekona	ボストン
Pō‘akahi	月曜日
Ianuali	1月
Pepeluali	2月
Malaki	3月
Hōkū‘ula	火星
Kenia	ケニア
‘Aikiopia	エチオピア
‘Apelila	4月
Mei	5月
Iune	6月
Iulai	7月
‘Aukake	8月
Kepakemapa	9月
‘Okakopa	10月
Nowemapa	11月
Kēkēmapa	12月
Pō‘alua	火曜日
Pō‘akolu	水曜日
Pō‘ahá	木曜日
Pō‘alima	金曜日
Pō‘aono	土曜日
Pōpule	日曜日
Liona	ライオン
Palani	フランス
‘Ōlelo Ekepelānako	エスペラント
Aupuni Mōʻī Hui Pū ʻia	イギリス
Pōpoki	ネコ
Kina	中華人民共和国
‘Ōlelo Palani	フランス語
Palakila	ブラジル
Rūsia	ロシア
Pai (makemakika)	円周率
‘Alapama	アラバマ州
Kelemānia	ドイツ
Belarusa	ベラルーシ
ʻĀina Hau	アイスランド
