Afrik	アフリカ
Japon	日本
Amerik disid	南アメリカ
Nòvèj	ノルウェー
Angletè	イングランド
Ekòs	スコットランド
Gal	ウェールズ
Ilann dinò	北アイルランド
Ilann	アイルランド
Ongri	ハンガリー
Espay	スペイン
Etazini	アメリカ合衆国
Bèljik	ベルギー
Liksanbou (peyi)	ルクセンブルク
Linivè	宇宙
Latè	地球
Lavi	生命
Lanmò	死
Homo sapiens	ヒト
George Washington	ジョージ・ワシントン
Fenlann	フィンランド
Syèd	スウェーデン
Danmak	デンマーク
Polòy	ポーランド
Lityani	リトアニア
Itali	イタリア
Swis	スイス
Otrich	オーストリア
Grès	ギリシャ
Tiki	トルコ
Byè	ビール
Pòtigal	ポルトガル
Ewòp	ヨーロッパ
Azi	アジア
Amerik dinò	北アメリカ
Antatik (kontinan)	南極大陸
Wikipedya	ウィキペディア
Peyiba	オランダ
Nouyòk	ニューヨーク
Wachintòn	ワシントンD.C.
San Francisco, Kalifòni	サンフランシスコ
Bèlen	ベルリン
Los Angeles, Kalifòni	ロサンゼルス
Òdinatè	コンピュータ
Bèn	ベルン
Zirik	チューリッヒ
Entènet	インターネット
Barack Obama	バラク・オバマ
Irigwe	ウルグアイ
Lonn	ロンドン
Li Kè	カイロ
Alexandria, Vijini	アレクサンドリア (バージニア州)
Pòm	リンゴ
Pari	パリ
Abraham Lincoln	エイブラハム・リンカーン
Google	Google
Meksik	メキシコ
Atlantik	大西洋
Pasifik	太平洋
Kalifòni	カリフォルニア州
Boston, Massachusetts	ボストン
Lendi	月曜日
Janvye	1月
Fevriye	2月
Mas (mwa)	3月
Mas (planèt)	火星
Kenya	ケニア
Etyopi	エチオピア
Gana	ガーナ
Avril	4月
Me	5月
Jen	6月
Jiyè	7月
Out	8月
Septanm	9月
Oktòb	10月
Novanm	11月
Desanm	12月
Madi	火曜日
Mèkredi	水曜日
Jedi	木曜日
Vandredi	金曜日
Samdi	土曜日
Dimanch	日曜日
Lyon	ライオン
Frans	フランス
Chen	イヌ
Wayòm Ini	イギリス
Chat	ネコ
Lang franse	フランス語
Pwason	魚類
Brezil	ブラジル
Alkòl	アルコール
Risi	ロシア
Balèn	クジラ目
Kare	正方形
Lanmè	海
Pi (matematik)	円周率
Π	Π
Alabama	アラバマ州
São Paolo	サンパウロ
Kebèk	ケベック州
Almay	ドイツ
Byelorisi	ベラルーシ
Alman	ドイツ語
Islann	アイスランド
Bondye	神
Estoni	エストニア
Satin	土星
Seriz	サクランボ
Avyon	飛行機
Lagè	戦争
1 (nonm)	1
2 (nonm)	2
3 (nonm)	3
4 (nonm)	4
5 (nonm)	5
0 (nonm)	0
Rektang	長方形
Letoni	ラトビア
Ikrèn	ウクライナ
Tchèki	チェコ
Slovaki	スロバキア
Sloveni	スロベニア
Vilnis	ヴィリニュス
Moldavi	モルドバ
Woumani	ルーマニア
Bilgari	ブルガリア
Ròm	ローマ
Repiblik d Masedoni	マケドニア共和国
Albani	アルバニア
Kroasi	クロアチア
Bosni ak Erzegovin	ボスニア・ヘルツェゴビナ
Azerbaydjan	アゼルバイジャン
Andora	アンドラ
Chip	キプロス
Jeoji	グルジア
Kazakstan	カザフスタン
Malt	マルタ
Monako (kapital)	モナコ
Montenegwo	モンテネグロ
Vatikan	バチカン
Sen Maren (peyi)	サンマリノ
Briksèl	ブリュッセル
Kiba	キューバ
Beliz	ベリーズ
Lababad	バルバドス
Java	Java
Endonezi	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
Afrik disid (peyi)	南アフリカ共和国
Aljeri	アルジェリア
Ouzbekistan	ウズベキスタン
Tachkènt	タシュケント
Vasovi	ワルシャワ
Diven	ワイン
Dlo	水
Kwi	皮革
Bwa	木材
Chili	チリ
Jezi	イエス・キリスト
Galileo Galilei	ガリレオ・ガリレイ
Mèki (planèt)	水星
Istwa	歴史
Apple	アップル インコーポレイテッド
Venis (planèt)	金星
Lang (pawòl)	言語
Galaksi	銀河
Jipitè (planèt)	木星
Teyori big-bang	ビッグバン
Iranis	天王星
Neptin (planèt)	海王星
Astwonomi	天文学
Sengapou (peyi)	シンガポール
Syans	科学
Pliton	冥王星
Monreyal (komin)	モントリオール
Avni	未来
Lichtènstayn	リヒテンシュタイン
Espò (divètisman)	スポーツ
Adolf Hitler	アドルフ・ヒトラー
Ubuntu	Ubuntu
Skopje	スコピエ
Linux	Linux
Matematik	数学
Barayn	バーレーン
Ameni	アルメニア
Sèbi	セルビア
Lalin	月
Istanboul	イスタンブル
Ostrali	オーストラリア
Bob Marley	ボブ・マーリー
Fizik	物理学
Ajantin	アルゼンチン
Telekominikasyon	電気通信
Pewou	ペルー
Biyoloji	生物学
Kore dinò	朝鮮民主主義人民共和国
Kanbòdj	カンボジア
Dinozò	恐竜
Islamis	イスラム教
Lyoubyana	リュブリャナ
Etid plant	植物学
Rou	車輪
Lapè	平和
Lyon (vil)	リヨン
Inyon Ewopeyèn	欧州連合
Philipp Ludwig von Seidel	ルートヴィヒ・ザイデル
Fanm	女性
Sofia	ソフィア (ブルガリア)
Zanmi	友情
Anis (anatomi)	肛門
Sitron	レモン
Bannann	バナナ
666 (almanak jilyen)	666年
Flè	花
Vil	都市
Napoléon Bonaparte	ナポレオン・ボナパルト
Etwal	恒星
Solèy	太陽
Syèl	空
Ane-limyè	光年
Victor Hugo	ヴィクトル・ユーゴー
Oseyani	オセアニア
Atletis	陸上競技
Sistèm solè	太陽系
Idwojèn	水素
Elyòm	ヘリウム
Lityòm	リチウム
Berilyòm	ベリリウム
Liv (pou li)	本
Jou (Tan)	日
Timò oryantal	東ティモール
Nwit	夜
Lane	年
Syèk	世紀
Oslo	オスロ
Twou nwa	ブラックホール
Lisbòn	リスボン
Ichiro Suzuki	イチロー
Kabòn	炭素
Azòt	窒素
Oksijèn	酸素
Planèt	惑星
Mizik	音楽
Tèmomèt	温度計
Moskou	モスクワ
Fliyò	フッ素
Neyon	ネオン
Saint-Pétersbourg	サンクトペテルブルク
Tchad	チャド
Sodyòm	ナトリウム
Nò	北
Manyezyòm	マグネシウム
Aliminyòm	アルミニウム
Nouvèl Zelann	ニュージーランド
Sid	南
End	インド
Silisyòm	ケイ素
Fransyòm	フランシウム
Touvalou	ツバル
Fosfò	リン
André-Marie Ampère	アンドレ＝マリ・アンペール
Fè	鉄
Tonga	トンガ
Lwès	西
Alessandro Volta	アレッサンドロ・ボルタ
Souf	硫黄
Samoa	サモア
Lès	東
Salomon	ソロモン諸島
Vanwatou	バヌアツ
Molière	モリエール
Klò	塩素
Papwazi-Nouvèl-Gine	パプアニューギニア
William Shakespeare	ウィリアム・シェイクスピア
Palao	パラオ
Agon	アルゴン
Naorou	ナウル
Mikwonezi (peyi)	ミクロネシア連邦
Potasyòm	カリウム
Kalsyòm	カルシウム
Plon	鉛
Machal	マーシャル諸島
Kiribès	キリバス
Mongoli	モンゴル国
Fidji	フィジー
Skandyòm	スカンジウム
Titàn	チタン
Venezwela	ベネズエラ
Echèk	チェス
Vanadyòm	バナジウム
Mèn	メイン州
Kwòm	クロム
Cheval	ウマ
Amstèdam	アムステルダム
Zam	武器
Zannimo	動物
Sirinam	スリナム
Manganèz	マンガン
Paragwe	パラグアイ
Giyàn	ガイアナ
La (aktivite)	芸術
Ekwatè (peyi)	エクアドル
Kolonbi	コロンビア
Nikèl	ニッケル
Frèz	オランダイチゴ属
Boudis	仏教
Bolivi	ボリビア
Kwiv	銅
Trinidad ak Tobago	トリニダード・トバゴ
Plant	植物
Sen Vensan ak Grenadin	セントビンセント・グレナディーン
Zenk	亜鉛
Nou Anpchi	ニューハンプシャー州
Sent Lisi	セントルシア
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Sen Kits ak Nevi	セントクリストファー・ネイビス
Chanpiyon	菌類
Jamayik	ジャマイカ
Grenad	グレナダ
Masachosèt	マサチューセッツ州
Gwatemala	グアテマラ
Google chrome	Google Chrome
Bahamas	バハマ
Konèktikòt	コネチカット州
Antigwa ak Babouda	アンティグア・バーブーダ
Awayi	ハワイ州
Ondiras	ホンジュラス
Dominik	ドミニカ国
