Աֆրիկա	アフリカ
Ճապոնիա	日本
Հարավային Ամերիկա	南アメリカ
Նորվեգիա	ノルウェー
Անգլիա	イングランド
Շոտլանդիա	スコットランド
Ուելս	ウェールズ
Հյուսիսային Իռլանդիա	北アイルランド
Իռլանդիա	アイルランド
Հունգարիա	ハンガリー
Իսպանիա	スペイン
Ամերիկայի Միացյալ Նահանգներ	アメリカ合衆国
Բելգիա	ベルギー
Լյուքսեմբուրգ	ルクセンブルク
Տիեզերք	宇宙
Երկիր	地球
Կյանք	生命
Մահ	死
Մարդ բանական	ヒト
Երջանկություն	幸福
Ջորջ Վաշինգտոն	ジョージ・ワシントン
Դուգլաս Ադամս	ダグラス・アダムズ
Imagine (երգ)	イマジン (ジョン・レノンの曲)
Սթենլի Կուբրիկ	スタンリー・キューブリック
Վիքիշտեմարան	ウィキデータ
Ֆինլանդիա	フィンランド
Շվեդիա	スウェーデン
Դանիա	デンマーク
Լեհաստան	ポーランド
Լիտվա	リトアニア
Իտալիա	イタリア
Շվեյցարիա	スイス
Ավստրիա	オーストリア
Հունաստան	ギリシャ
Թուրքիա	トルコ
Գարեջուր	ビール
Պորտուգալիա	ポルトガル
Եվրոպա	ヨーロッパ
Ասիա	アジア
Հյուսիսային Ամերիկա	北アメリカ
Անտարկտիդա	南極大陸
Վիքիպեդիա	ウィキペディア
Նիդեռլանդներ	オランダ
PHP	PHP: Hypertext Preprocessor
Նյու Յորք	ニューヨーク
Վաշինգտոն ԿՇ	ワシントンD.C.
Սան Ֆրանցիսկո	サンフランシスコ
Բեռլին	ベルリン
Լոս Անջելես	ロサンゼルス
Բոինգ	ボーイング
Airbus	エアバス
Համակարգիչ	コンピュータ
Բեռն	ベルン
Ժնև	ジュネーヴ
Ցյուրիխ	チューリッヒ
Համացանց	インターネット
Բարաք Օբամա	バラク・オバマ
Ուրուգվայ	ウルグアイ
Բազել	バーゼル
Տպիչ	プリンター
ՄեդիաՎիքի	MediaWiki
Լոնդոն	ロンドン
Կահիրե	カイロ
Ալեքսանդրիա	アレクサンドリア
Ալեքսանդրիա (Վիրջինիա)	アレクサンドリア (バージニア州)
Խնձոր	リンゴ
Փարիզ	パリ
Աբրահամ Լինքոլն	エイブラハム・リンカーン
Անդրոիդ	Android
Մեքսիկա	メキシコ
Ատլանտյան օվկիանոս	大西洋
Խաղաղ օվկիանոս	太平洋
Կալիֆորնիա	カリフォルニア州
Բոստոն	ボストン
Երկուշաբթի	月曜日
Տարածություն	空間
Հունվար	1月
Փետրվար	2月
Մարտ	3月
Մարս (մոլորակ)	火星
Քենիա	ケニア
Եթովպիա	エチオピア
Գանա	ガーナ
Ապրիլ	4月
Մայիս	5月
Հունիս	6月
Հուլիս	7月
Օգոստոս	8月
Սեպտեմբեր	9月
Հոկտեմբեր	10月
Նոյեմբեր	11月
Դեկտեմբեր	12月
Երեքշաբթի	火曜日
Չորեքշաբթի	水曜日
Հինգշաբթի	木曜日
Ուրբաթ	金曜日
Շաբաթ (օր)	土曜日
Կիրակի	日曜日
Փիղ (շախմատ)	ビショップ
Զինվոր (շախմատ)	ポーン
Ձի (շախմատ)	ナイト (チェス)
Նավակ (շախմատ)	ルーク
Արքա (շախմատ)	キング (チェス)
Թագուհի (շախմատ)	クイーン (チェス)
Առյուծ	ライオン
Ֆրանսիա	フランス
Էսպերանտո	エスペラント
Շուն	イヌ
Միացյալ Թագավորություն	イギリス
Կատուներ	ネコ
Չինաստանի Ժողովրդական Հանրապետություն	中華人民共和国
Ֆրանսերեն	フランス語
Վիքիբառարան	ウィクショナリー
Ձկներ	魚類
Էթիլ սպիրտ	エタノール
Բրազիլիա	ブラジル
Սպիրտ	アルコール
Ֆրանսուա Օլանդ	フランソワ・オランド
Ռուսաստան	ロシア
Կետանմաններ	クジラ目
Մանրաթելեր	繊維
Օպտիկամանրաթելային մալուխ	光ファイバー
Քառակուսի	正方形
Ծով	海
Սև ծով	黒海
Պի թիվ	円周率
Պի (տառ)	Π
Վիքի	ウィキ
Տորոնտո	トロント
Ալաբամա (նահանգ)	アラバマ州
Սան Պաուլո	サンパウロ
Սան Պաուլու (նահանգ)	サンパウロ州
Քվեբեկ	ケベック州
Պիցցա	ピザ
Մակարոնեղեն	パスタ
Բոինգ 747	ボーイング747
Վիքիմեդիա Հիմնադրամ	ウィキメディア財団
Ջիմմի Ուելս	ジミー・ウェールズ
Գերմանիա	ドイツ
Բելառուս	ベラルーシ
Լարի Սանգեր	ラリー・サンガー
Իտալիայի օրհներգ	マメーリの賛歌
Գերմաներեն	ドイツ語
Իսլանդիա	アイスランド
Աստված	神
Էստոնիա	エストニア
Դևիդ Քեմերոն	デーヴィッド・キャメロン
Սատուրն (մոլորակ)	土星
Սատուրնի օղակներ	土星の環
Շոկոլադ	チョコレート
Ինքնաթիռ	飛行機
Պատերազմ	戦争
1 (թիվ)	1
2 (թիվ)	2
3 (թիվ)	3
Չորս	4
Հինգ	5
Անսահմանություն	無限
Ջորջ Ու. Բուշ	ジョージ・W・ブッシュ
Ուղղանկյուն	長方形
Ուղիղ անկյուն	直角
Լատվիա	ラトビア
Ուկրաինա	ウクライナ
Չեխիա	チェコ
Սլովակիա	スロバキア
Սլովենիա	スロベニア
Վիլնյուս	ヴィリニュス
Մոլդովա	モルドバ
Ռումինիա	ルーマニア
Բուլղարիա	ブルガリア
Հռոմ	ローマ
Մակեդոնիա	マケドニア共和国
Ալբանիա	アルバニア
Գրենլանդիա	グリーンランド
Խորվաթիա	クロアチア
Բոսնիա և Հերցեգովինա	ボスニア・ヘルツェゴビナ
Նուուկ	ヌーク
Ադրբեջանական Հանրապետություն	アゼルバイジャン
Անդորրա	アンドラ
Կիպրոս	キプロス
Վրաստան	グルジア
Վալոնիա	ワロン地域
Ղազախստան	カザフスタン
Մալթա	マルタ
Ֆլանդրիա (պատմական մարզ)	フランドル
Մոնակո	モナコ
Չեռնոգորիա	モンテネグロ
Վատիկան	バチカン
Սան Մարինո	サンマリノ
Բրյուսել	ブリュッセル市
Բրյուսելի մայրաքաղաքային տարածաշրջան	ブリュッセル
Կուբա	キューバ
Բելիզ	ベリーズ
Էյֆելյան աշտարակ	エッフェル塔
Բարբադոս	バルバドス
Volkswagen	フォルクスワーゲン
Ինտել	インテル
Ջավա (ծրագրավորման լեզու)	Java
Ինդոնեզիա	インドネシア
Վոլֆգանգ Ամադեուս Մոցարտ	ヴォルフガング・アマデウス・モーツァルト
Լյուդվիգ վան Բեթհովեն	ルートヴィヒ・ヴァン・ベートーヴェン
Թուրքերեն	トルコ語
Հարավաֆրիկյան Հանրապետություն	南アフリカ共和国
Ժան Ֆրանսուա Շամպոլյոն	ジャン＝フランソワ・シャンポリオン
Linkin Park	リンキン・パーク
Ալժիր	アルジェリア
Վիքիդարան	ウィキソース
Ուզբեկստան	ウズベキスタン
Տաշքենդ	タシュケント
Վարշավա	ワルシャワ
Եվրատեսիլ երգի մրցույթ	ユーロビジョン・ソング・コンテスト
Վիսկի	ウイスキー
Գինի	ワイン
Ջուր	水
Կոնյակ	コニャック
Կոնյակ (քաղաք)	コニャック (コミューン)
Կաշի	皮革
Փայտ	木材
Հեռուստատեսային կենտրոն	テレビ
Սեռ (կենսաբանություն)	性 (生物学)
Պոռնոգրաֆիա	ポルノグラフィ
Իսլանդերեն	アイスランド語
Կլոդ Մոնե	クロード・モネ
Դիեգո Վելասկես	ディエゴ・ベラスケス
Չիլի	チリ
Էլ Գրեկո	エル・グレコ
Հիսուս	イエス・キリスト
Էլվիս Փրեսլի	エルヴィス・プレスリー
Մարմնական պատիժներ	体罰
Գալիլեո Գալիլեյ	ガリレオ・ガリレイ
Մերկուրի (մոլորակ)	水星
Պատմություն	歴史
Պեր Լաշեզ	ペール・ラシェーズ墓地
Էփլ	アップル インコーポレイテッド
Վեներա (մոլորակ)	金星
Լեզու	言語
Սեր	愛
Գալակտիկաներ	銀河
Յուպիտեր (մոլորակ)	木星
Ծիր Կաթին	銀河系
Մեծ Պայթյուն	ビッグバン
Ուրան (մոլորակ)	天王星
Բրետան	ブルターニュ
Անգլերեն Վիքիպեդիա	英語版ウィキペディア
Նիկոլա Սարկոզի	ニコラ・サルコジ
Նեպտուն	海王星
Աստղագիտություն	天文学
Սինգապուր	シンガポール
Գիտություն	科学
Տիեզերագիտություն	宇宙論
Պլուտոն	冥王星
Մոնրեալ	モントリオール
Ազատ ծրագրային ապահովում	フリーソフトウェア
Մարիամ Աստվածածին	イエスの母マリア
Լուի Սուրբ	ルイ9世 (フランス王)
Լիխտենշտայն	リヒテンシュタイン
Սպորտ	スポーツ
Քեմբրիջ	ケンブリッジ
Ելոուսթոուն (ազգային այգի)	イエローストーン国立公園
Ադոլֆ Հիտլեր	アドルフ・ヒトラー
Ֆեյսբուք	Facebook
Google+	Google+
ՎիքիԼիքս	ウィキリークス
Ջուլիան Ասանժ	ジュリアン・アサンジ
Առաջին համաշխարհային պատերազմ	第一次世界大戦
Երկրորդ համաշխարհային պատերազմ	第二次世界大戦
Քյոլն	ケルン
Կաշառակերություն	汚職
Վիքիգրքեր	ウィキブックス
Վիքիքաղվածք	ウィキクォート
Վիքիլսարան	ウィキバーシティ
Օղի	ウォッカ
Վաֆլի	ワッフル
Յանկա Կուպալա	ヤンカ・クパーラ
Ուբունտու	Ubuntu
Սկոպյե	スコピエ
Գդինյա	グディニャ
Լինուքս	Linux
Բոբ Դիլան	ボブ・ディラン
Չափագիտություն	計量学
Մաթեմատիկա	数学
Լատիներեն	ラテン語
Բահրեյն	バーレーン
Հայաստան	アルメニア
Սեպագիր	楔形文字
Հիգսի բոզոն	ヒッグス粒子
Սերբիա	セルビア
Լուսին	月
Ստամբուլ	イスタンブル
Ավստրալիա	オーストラリア
Բոբ Մառլի	ボブ・マーリー
Կարլ Սագան	カール・セーガン
Աստղակենսաբանություն	宇宙生物学
Ֆիզիկա	物理学
Արգենտինա	アルゼンチン
Կապի համակարգ	電気通信
Պերու	ペルー
Կենսաբանություն	生物学
Չբացահայտված թռչող օբյեկտ	未確認飛行物体
Կորեայի Ժողովրդա-Դեմոկրատական Հանրապետություն	朝鮮民主主義人民共和国
Կամբոջա	カンボジア
Կոյպերի գոտի	エッジワース・カイパーベルト
Ղուրան	クルアーン
Դինոզավրեր	恐竜
Կենդանաբանություն	動物学
Իսլամ	イスラム教
Տանձենի	ナシ属
Ալեքսանդրիայի գրադարան	アレクサンドリア図書館
Լյուբլյանա	リュブリャナ
Բուսաբանություն	植物学
Անիվ	車輪
Դենի Դիդրո	ドゥニ・ディドロ
Ռահու (գյուղ, Վալյալա շրջան)	平和
Բրիտանիկա հանրագիտարան	ブリタニカ百科事典
Լիոն	リヨン
Եվրոպական Միություն	欧州連合
Պլովդիվ	プロヴディフ
Աստղային պատերազմներ	スター・ウォーズ・シリーズ
Ռոն-Ալպ	ローヌ＝アルプ地域圏
Համաշխարհային սարդոստայն	World Wide Web
Կին	女性
Սոֆիա	ソフィア (ブルガリア)
Ջրանցույց	水道橋
Դոն Քիշոտ (վեպ)	ドン・キホーテ
.xxx	.xxx
Չափածո	詩
Համակարգչային վիրուս	コンピュータウイルス
Չեռնոբիլի ատոմակայանի վթար	チェルノブイリ原子力発電所事故
Հիրոսիմայի և Նագասակիի ատոմային ռմբակոծումներ	日本への原子爆弾投下
Միլան	ミラノ
Ընկերություն	友情
Հիշողություն	記憶
Արթյուր Ռեմբո	アルチュール・ランボー
Թուրին	トリノ
Կիտրոն	レモン
Շառլ Բոդլեր	シャルル・ボードレール
Ստենդալ	スタンダール
Բանան	バナナ
Էմիլ Զոլա	エミール・ゾラ
666	666年
Ծաղիկ	花
Գուգոլ	グーゴル
Մարիանյան իջվածք	マリアナ海溝
Վլադիմիր Վիսոցկի	ヴラジーミル・ヴィソツキー
Էվերեստ	エベレスト
Անատոմիա	解剖学
Նապոլեոն Բոնապարտ	ナポレオン・ボナパルト
Օլիմպոս (Մարս)	オリンポス山 (火星)
Ֆիզիոլոգիա	生理学
Աստղ	恒星
Վեզուվ	ヴェスヴィオ
Արեգակ	太陽
Երկինք	空
Լուի Պաստյոր	ルイ・パスツール
Լուսային տարի	光年
Վիկտոր Հյուգո	ヴィクトル・ユーゴー
Օվկիանիա	オセアニア
Ջուզեպպե Գարիբալդի	ジュゼッペ・ガリバルディ
Աթլետիկա	陸上競技
Գրաքննադատություն	検閲
