აფრიკა	アフリカ
იაპონია	日本
სამხრეთი ამერიკა	南アメリカ
ნორვეგია	ノルウェー
ინგლისი	イングランド
შოტლანდია	スコットランド
უელსი	ウェールズ
ჩრდილოეთი ირლანდია	北アイルランド
ირლანდია	アイルランド
უნგრეთი	ハンガリー
ესპანეთი	スペイン
ამერიკის შეერთებული შტატები	アメリカ合衆国
ბელგია	ベルギー
ლუქსემბურგი	ルクセンブルク
სამყარო	宇宙
დედამიწა	地球
სიცოცხლე	生命
სიკვდილი	死
ადამიანი	ヒト
ბედნიერება	幸福
ჯორჯ ვაშინგტონი	ジョージ・ワシントン
დაგლას ადამსი	ダグラス・アダムズ
ტიმ ბერნერს-ლი	ティム・バーナーズ＝リー
Imagine (სიმღერა)	イマジン (ジョン・レノンの曲)
სტენლი კუბრიკი	スタンリー・キューブリック
ვიკიმონაცემები	ウィキデータ
ფინეთი	フィンランド
შვედეთი	スウェーデン
დანია	デンマーク
პოლონეთი	ポーランド
ლიტვა	リトアニア
იტალია	イタリア
შვეიცარია	スイス
ავსტრია	オーストリア
საბერძნეთი	ギリシャ
თურქეთი	トルコ
ლუდი	ビール
პორტუგალია	ポルトガル
ევროპა	ヨーロッパ
აზია	アジア
ჩრდილოეთი ამერიკა	北アメリカ
ანტარქტიდა	南極大陸
ვიკიპედია	ウィキペディア
ნიდერლანდი	オランダ
PHP	PHP: Hypertext Preprocessor
ნიუ-იორკი	ニューヨーク
ვაშინგტონი	ワシントンD.C.
სან-ფრანცისკო	サンフランシスコ
ბერლინი	ベルリン
ლოს-ანჯელესი	ロサンゼルス
Boeing	ボーイング
Airbus	エアバス
კომპიუტერი	コンピュータ
ბერნი	ベルン
ჟენევა	ジュネーヴ
ციურიხი	チューリッヒ
ინტერნეტი	インターネット
ბარაკ ობამა	バラク・オバマ
ურუგვაი	ウルグアイ
ბაზელი	バーゼル
პრინტერი	プリンター
MediaWiki	MediaWiki
ლონდონი	ロンドン
კაირო	カイロ
ალექსანდრია	アレクサンドリア
პარიზი	パリ
აბრაამ ლინკოლნი	エイブラハム・リンカーン
Android	Android
Google	Google
მექსიკა	メキシコ
ატლანტის ოკეანე	大西洋
წყნარი ოკეანე	太平洋
კალიფორნია	カリフォルニア州
ბოსტონი	ボストン
ორშაბათი	月曜日
სივრცე	空間
იანვარი	1月
თებერვალი	2月
მარტი	3月
მარსი	火星
მარსი (ღმერთი)	マールス
კენია	ケニア
ეთიოპია	エチオピア
მეფე	君主
განა	ガーナ
აპრილი	4月
მაისი	5月
ივნისი	6月
ივლისი	7月
აგვისტო	8月
სექტემბერი	9月
ოქტომბერი	10月
ნოემბერი	11月
დეკემბერი	12月
სამშაბათი	火曜日
ოთხშაბათი	水曜日
ხუთშაბათი	木曜日
პარასკევი	金曜日
შაბათი	土曜日
კვირა	日曜日
კუ (ჭადრაკი)	ビショップ
პაიკი	ポーン
მხედარი (ჭადრაკი)	ナイト (チェス)
ეტლი (ჭადრაკი)	ルーク
მეფე (ჭადრაკი)	キング (チェス)
ლაზიერი	クイーン (チェス)
ლომი	ライオン
საფრანგეთი	フランス
ესპერანტო	エスペラント
ძაღლი	イヌ
გაერთიანებული სამეფო	イギリス
შინაური კატა	ネコ
ჩინეთი	中華人民共和国
ფრანგული ენა	フランス語
ვიქსიკონი	ウィクショナリー
თევზები	魚類
