Afrika	アフリカ
Japani	日本
Amerika Kujalleq	南アメリカ
Norge	ノルウェー
Irlandi	アイルランド
Ungarni	ハンガリー
Spania	スペイン
Naalagaaffeqatigiit	アメリカ合衆国
Belgia	ベルギー
Luxembourg (nunaat)	ルクセンブルク
Nunarsuaq	地球
Finlandi	フィンランド
Svenskit Nunaat	スウェーデン
Danmarki	デンマーク
Poleni	ポーランド
Litaueni	リトアニア
Italia	イタリア
Schweizi	スイス
Østrigi	オーストリア
Grækerit Nunaat	ギリシャ
Tyrkia	トルコ
Portugal	ポルトガル
Europa	ヨーロッパ
Asia	アジア
Amerika Avannarleq	北アメリカ
Qalasersuaq Kujalleq	南極大陸
Wikipedia	ウィキペディア
Hollandi	オランダ
Berlin	ベルリン
Barack Obama	バラク・オバマ
Uruguay	ウルグアイ
London	ロンドン
Cairo	カイロ
Alexandria	アレクサンドリア
Paris	パリ
Mexico	メキシコ
Ataasinngorneq	月曜日
Jannuaari	1月
Februaari	2月
Martsi	3月
Kenya	ケニア
Apriili	4月
Maaji	5月
Juuni	6月
Juuli	7月
Aggusti	8月
Septemberi	9月
Oktoberi	10月
Novemberi	11月
Decemberi	12月
Marlunngorneq	火曜日
Pingasunngorneq	水曜日
Sisamanngorneq	木曜日
Tallimanngorneq	金曜日
Arfininngorneq	土曜日
Sapaat	日曜日
Franskit Nunaat	フランス
Esperanto	エスペラント
Tuluit Nunaat	イギリス
Kina	中華人民共和国
Franskisut	フランス語
Brazil	ブラジル
Ruslandi	ロシア
Toronto	トロント
São Paulo	サンパウロ
Québec	ケベック州
Wikimedia	ウィキメディア財団
Tyskit Nunaat	ドイツ
Hvideruslandi	ベラルーシ
Tyskisut	ドイツ語
Islandi	アイスランド
Estlandi	エストニア
Letlandi	ラトビア
Ukraine	ウクライナ
Tjekkia	チェコ
Slovakia	スロバキア
Slovenia	スロベニア
Vilnius	ヴィリニュス
Moldova	モルドバ
Rumænia	ルーマニア
Bulgaria	ブルガリア
Roma	ローマ
Makedonia	マケドニア共和国
Albania	アルバニア
Kalaallit Nunaat	グリーンランド
Kroatia	クロアチア
Bosnia-Hercegovina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Aserbajdsjan	アゼルバイジャン
Andorra	アンドラ
Cyperni	キプロス
Georgia	グルジア
Kasakhstani	カザフスタン
Malta	マルタ
Monaco	モナコ
Montenegro	モンテネグロ
Vatikani	バチカン
San Marino	サンマリノ
Bruxelles	ブリュッセル市
Indonesia	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Tyrkiskisut	トルコ語
Poznań	ポズナン
Warszawa	ワルシャワ
Eurovision Song Contest	ユーロビジョン・ソング・コンテスト
Islandimiusut	アイスランド語
Claude Monet	クロード・モネ
Diego Velázquez	ディエゴ・ベラスケス
Chile	チリ
El Greco	エル・グレコ
Jiisusi-Kristus	イエス・キリスト
Oqaluttuarisaaneq	歴史
Oqaatsit	言語
Galaxy	銀河
Ulloriarsiorneq	天文学
Singapore	シンガポール
Montréal	モントリオール
Liechtensteini	リヒテンシュタイン
Timersorneq	スポーツ
Szczecin	シュチェチン
Matematikki	数学
Latiinerisut	ラテン語
Bahrain	バーレーン
Serbia	セルビア
Qaammat	月
Istanbul	イスタンブル
Australia	オーストラリア
Uumaatsulerineq	物理学
Argentina	アルゼンチン
Peru	ペルー
Uumassusililerineq	生物学
Korea Avannarleq	朝鮮民主主義人民共和国
Islam	イスラム教
Lech Wałęsa	レフ・ヴァウェンサ
Lyon	リヨン
EU	欧州連合
Sofia	ソフィア (ブルガリア)
Mount Everest	エベレスト
Oceania	オセアニア
