អាហ្វ្រិក	アフリカ
ជប៉ុន	日本
អង់គ្លេស	イングランド
ស្កុតឡែន	スコットランド
វ៉ែល	ウェールズ
អៀរឡង់ខាងជើង	北アイルランド
សាធារណរដ្ឋអៀរឡង់	アイルランド
ប្រទេសហុងគ្រី	ハンガリー
អេស្ប៉ាញ	スペイン
សហរដ្ឋអាមេរិក	アメリカ合衆国
ផែនដី	地球
ប៊ឺណឺស លី	ティム・バーナーズ＝リー
ស៊ុយអែត	スウェーデン
ប្រទេសប៉ូឡូញ	ポーランド
អ៊ីតាលី	イタリア
ព័រទុយហ្គាល់	ポルトガル
អឺរ៉ុប	ヨーロッパ
អាស៊ី	アジア
វិគីភីឌា	ウィキペディア
ភីអេចភី	PHP: Hypertext Preprocessor
ទីក្រុងញូវយ៉ក	ニューヨーク
កុំព្យូទ័រ	コンピュータ
អ៊ីនធើណេត	インターネット
បារ៉ាក់ អូបាម៉ា	バラク・オバマ
ប៉ារីស	パリ
អាប្រាហាម លីនខូន	エイブラハム・リンカーン
ប្រព័ន្ធប្រតិបត្តការ Android	Android
Google ស្វែងរក	Google
ម៉ិកស៊ិក	メキシコ
មហាសមុទ្រអាត្លង់ទិក	大西洋
មហាសមុទ្រប៉ាស៊ីហ្វិក	太平洋
ថ្ងៃច័ន្ទ	月曜日
ខែមករា	1月
ខែកុម្ភៈ	2月
ខែមីនា	3月
ភពអង្គារ	火星
ខែមេសា	4月
ខែឧសភា	5月
ខែមិថុនា	6月
ខែកក្កដា	7月
ខែសីហា	8月
ខែកញ្ញា	9月
ខែតុលា	10月
ខែវិច្ឆិកា	11月
ខែធ្នូ	12月
អង្គារ	火曜日
ថ្ងៃពុធ	水曜日
ថ្ងៃព្រហស្បតិ៍	木曜日
ថ្ងៃសុក្រ	金曜日
ថ្ងៃសៅរ៍	土曜日
ថ្ងៃអាទិត្យ	日曜日
សេះ (​អុក​)	ナイト (チェス)
បារាំង	フランス
សត្វឆ្កែ	イヌ
រាជាណាចក្ររួម	イギリス
ឆ្មា	ネコ
ភាសាបារាំង	フランス語
ប្រេស៊ីល	ブラジル
រុស្ស៊ី	ロシア
ការ៉េ	正方形
សមុទ្រ	海
អាល្លឺម៉ង់	ドイツ
ភាសាអាល្លឺម៉ង់	ドイツ語
ប្រទេសអាយឡែន	アイスランド
ភពសៅរ៍	土星
១ (លេខ)	1
២ (លេខ)	2
៣ (លេខ)	3
៥	5
ចតុកោណកែង	長方形
មុំកែង	直角
អ៊ុយក្រែន	ウクライナ
ទីក្រុងរ៉ូម	ローマ
អាល់បានី	アルバニア
អាស៊ែបៃហ្សង់	アゼルバイジャン
អង់ដូរ៉ា	アンドラ
សាធារណរដ្ឋកាហ្សាក់ស្ថាន	カザフスタン
បុរីវ៉ាទីកង់	バチカン
គុយបា	キューバ
ឥណ្ឌូនេស៊ី	インドネシア
