Afrika	アフリカ
Japana	日本
Norvezy	ノルウェー
Irlanda	アイルランド
Espaina	スペイン
Etazonia	アメリカ合衆国
Belzika	ベルギー
Loksemborga	ルクセンブルク
Tany	地球
Fiainana	生命
Olombelona	ヒト
George Washington	ジョージ・ワシントン
Douglas Adams	ダグラス・アダムズ
Tim Berners-Lee	ティム・バーナーズ＝リー
Paul Otlet	ポール・オトレ
Stanley Kubrick	スタンリー・キューブリック
Finlandy	フィンランド
Soeda	スウェーデン
Danmarka	デンマーク
Polonia	ポーランド
Litoania	リトアニア
Italia	イタリア
Soisa	スイス
Aotrisy	オーストリア
Grisy	ギリシャ
Torkia	トルコ
Labiera	ビール
Pôrtogaly	ポルトガル
Eoropa	ヨーロッパ
Azia	アジア
Amerika Avaratra	北アメリカ
Antartika	南極大陸
Wikipedia	ウィキペディア
PHP	PHP: Hypertext Preprocessor
New York	ニューヨーク
Washington D.C	ワシントンD.C.
San Francisco	サンフランシスコ
Berlin	ベルリン
Los Angeles	ロサンゼルス
Solosaina	コンピュータ
Internet	インターネット
Barack Obama	バラク・オバマ
MediaWiki	MediaWiki
London	ロンドン
Kairo	カイロ
Alexandria, Virginia	アレクサンドリア (バージニア州)
Paoma	リンゴ
Paris	パリ
Abraham Lincoln	エイブラハム・リンカーン
Android	Android
Google	Google
Meksika	メキシコ
Ranomasimbe Atlantika	大西洋
Ranomasimbe Pasifika	太平洋
Kalifornia	カリフォルニア州
Boston, Massachusetts	ボストン
Janoary	1月
Febroary	2月
Martsa	3月
Mars (fajiry)	火星
Kenia	ケニア
Etiopia	エチオピア
Ghana	ガーナ
Aprily	4月
Mey	5月
Jiona	6月
Jolay	7月
Aogositra	8月
Septambra	9月
Oktobra	10月
Novambra	11月
Desambra	12月
Frantsa	フランス
Fiteny esperanto	エスペラント
Alika	イヌ
Fanjakana Mitambatra	イギリス
Saka	ネコ
Repoblika Entim-bahoakan'i Sina	中華人民共和国
Fiteny frantsay	フランス語
Wikibolana	ウィクショナリー
Hazandrano	魚類
Alkôla	酒
Brazila	ブラジル
François Hollande	フランソワ・オランド
Rosia	ロシア
Efa-joro	正方形
Ranomasina Mainty	黒海
Pi	円周率
Wiki	ウィキ
Alabama	アラバマ州
São Paulo	サンパウロ
Québec	ケベック州
Boeing 747	ボーイング747
Wikimedia Foundation	ウィキメディア財団
Jimmy Wales	ジミー・ウェールズ
Alemaina	ドイツ
Belarosia	ベラルーシ
Fiteny alemana	ドイツ語
Islandy	アイスランド
Estonia	エストニア
David Cameron	デーヴィッド・キャメロン
Fiaramanidina	飛行機
Tsiefa	無限
Stephen Harper	スティーヴン・ハーパー
George Bush	ジョージ・W・ブッシュ
Latvia	ラトビア
Okraina	ウクライナ
Tsekia	チェコ
Silaovakia	スロバキア
Silaovenia	スロベニア
Vilnius	ヴィリニュス
Romania	ルーマニア
Biolgaria	ブルガリア
Roma	ローマ
Masedonia	マケドニア共和国
Albania	アルバニア
Groenlanda	グリーンランド
Krôasia	クロアチア
