Africa	アフリカ
Xapon	日本
Ixachitlān Huitztlāmpa	南アメリカ
Noruega	ノルウェー
Inglatlālpan	イングランド
Wales	ウェールズ
Irtlālpan	アイルランド
Hungria	ハンガリー
Caxtillān	スペイン
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	アメリカ合衆国
Belgica	ベルギー
Luxemburgo	ルクセンブルク
Cemānāhuac	宇宙
Tlālticpactli	地球
Miquiztli	死
Tlācatl	ヒト
George Washington	ジョージ・ワシントン
Stanley Kubrick	スタンリー・キューブリック
Fintlālpan	フィンランド
Suecia	スウェーデン
Dinamarca	デンマーク
Polonia	ポーランド
Lituania	リトアニア
Italia	イタリア
Suiza	スイス
Austria	オーストリア
Grecia	ギリシャ
Turquia	トルコ
Portugal	ポルトガル
Europan	ヨーロッパ
Asia	アジア
Ixachitlān Mictlāmpa	北アメリカ
Antartida	南極大陸
Huiquipedia	ウィキペディア
Tlanitlālpan	オランダ
Tepōlli	陰茎
Āltepētl Yancuīc York	ニューヨーク
Washington, D.C.	ワシントンD.C.
San Francisco, California	サンフランシスコ
Berlin	ベルリン
Los Ángeles	ロサンゼルス
Chīuhpōhualhuaztli	コンピュータ
Berna	ベルン
Zurich	チューリッヒ
Mātlatzālantli	インターネット
Barack Obama	バラク・オバマ
Uruguay	ウルグアイ
Londres	ロンドン
In Cairo	カイロ
Alexandria	アレクサンドリア
Manzana	リンゴ
Paris	パリ
Abraham Lincoln	エイブラハム・リンカーン
Google	Google
Mēxihco	メキシコ
Ilhuicaātl Atlántico	大西洋
Tēpāpāquiltiliztli Ilhuicaātl	太平洋
California	カリフォルニア州
Mētztlitōnal	月曜日
Ic cē mētztli	1月
Ic ōme mētztli	2月
Ic ēyi mētztli	3月
Chīchīlcītlalli	火星
Quenia	ケニア
Etiopia	エチオピア
Ghana	ガーナ
Ic nāuhtetl mētztli	4月
Ic mācuīlli mētztli	5月
Ic chicuacen mētztli	6月
Ic chicōme mētztli	7月
Ic chicuēyi mētztli	8月
Ic chiucnāhui mētztli	9月
Ic mahtlāctetl mētztli	10月
Ic mahtlāctetl oncē mētztli	11月
Ic mahtlāctetl omōme mētztli	12月
Huītzilōpōchtōnal	火曜日
Yacatlipotōnal	水曜日
Tezcatlipotōnal	木曜日
Quetzalcōātōnal	金曜日
Tlāloctitōnal	土曜日
Tōnatiuhtōnal	日曜日
Cuāmiztli	ライオン
Francia	フランス
Esperantotlahtōlli	エスペラント
Itzcuintli	イヌ
Tlacetilīlli Huēyitlahtohcāyōtl	イギリス
Miztōn	ネコ
China	中華人民共和国
Franciatlahtōlli	フランス語
Michin	魚類
Octli	酒
Brasil	ブラジル
Rusia	ロシア
Huēyātl	海
Π	Π
Wiki	ウィキ
Alabama	アラバマ州
São Paulo	サンパウロ
São Paulo (tlahtohcāyōtl)	サンパウロ州
Quebec	ケベック州
Jimmy Wales	ジミー・ウェールズ
Alemania	ドイツ
Belarus	ベラルーシ
Alemantlahtōlli	ドイツ語
Iztlālpan	アイスランド
Estonia	エストニア
Tzitzimicītlalli	土星
Xocolātl	チョコレート
Tepoztōtōtl	飛行機
Cē (tlapōhualli)	1
Ōme	2
Ēyi	3
Nāhui	4
Mācuīlli	5
George W. Bush	ジョージ・W・ブッシュ
Letonia	ラトビア
Ucrania	ウクライナ
Chequia	チェコ
Eslovaquia	スロバキア
Eslovenia	スロベニア
Vilnius	ヴィリニュス
Moldova	モルドバ
Rumania	ルーマニア
Bulgaria	ブルガリア
Roma	ローマ
Tlācatlahtohcāyōtl Macedonia	マケドニア共和国
Albania	アルバニア
Groentlālpan	グリーンランド
Croacia	クロアチア
Bosnia īhuān Hertzegovina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Azerbaiyan	アゼルバイジャン
Andorra	アンドラ
Chipre	キプロス
Georgia	グルジア
Cazaquistan	カザフスタン
Malta	マルタ
Flandes	フランドル
Monaco	モナコ
Tlīltepēc	モンテネグロ
In Vaticano	バチカン
San Marino	サンマリノ
Brusel	ブリュッセル市
Cuba	キューバ
Belice	ベリーズ
Eiffel Huehcapan Calli	エッフェル塔
