Africa	アフリカ
Lithuania	リトアニア
Italia	イタリア
Asia	アジア
Meyi	5月
Russia	ロシア
Azerbaijan	アゼルバイジャン
San Marino (dziko)	サンマリノ
South Africa	南アフリカ共和国
Algeria	アルジェリア
Yesu Kristu	イエス・キリスト
Chilatini	ラテン語
Napoleon	ナポレオン・ボナパルト
Zomera	植物
Tanzania	タンザニア
Zambia	ザンビア
Zimbabwe	ジンバブエ
Malaŵi	マラウイ
Mozambique	モザンビーク
Sudan	スーダン
Uetersen	ユーテルゼン
Augustus	アウグストゥス
Baibulo	聖書
True Jesus Church	真イエス教会
Chingerezi	英語
Dong Hoi	ドンホイ
Category:Templates	Category:ウィキペディアのテンプレート
Lilongwe	リロングウェ
Lusaka	ルサカ
Wikipedia:Sandbox	Wikipedia:サンドボックス
Zichyújfalu	ズィチウーイファル
Mwezi	月 (暦)
Tsamba Lalikulu	メインページ
Lake Malawi	マラウイ湖
Category:Candidates for speedy deletion	Category:即時削除対象のページ
Chitsamunda	植民地主義
Boma	政府
Category:Kuimba	Category:音楽
Alexander Macedon	アレクサンドロス3世
Chigiriki	ギリシア語
Chiarabu	アラビア語
Template:Link FA	Template:Link FA
Wikipedia:Community Portal	Wikipedia:井戸端
Bien Hoa	ビエンホア
Chinenero ya ndzika	公用語
Moshchena	モシュチェナ
Paltoga	パルトガ
ISO 3166-1	ISO 3166-1
Akhristadelfia	キリスト・アデルフィアン派
Chilankhulo cha Chichewa	チェワ語
Wolembedwa ndi Yohane	ヨハネによる福音書
Template:Commons Categories	Template:Commonscat
Aroma	ローマの信徒への手紙
Matenda a Ebola	エボラ出血熱
Category:Boma	Category:政府
Joyce Banda	ジョイス・バンダ
Kwacha ya Zambia	ザンビア・クワチャ
Nsadsi	ナンヨウアブラギリ
KwaZulu-Natal	クワズール・ナタール州
Chinangwa	キャッサバ
Western Cape	西ケープ州
Eastern Cape	東ケープ州
Mpumalanga	ムプマランガ州
Northern Cape	北ケープ州
Gauteng	ハウテン州
Limpopo	リンポポ州
Wikipedia:Chithandizo cha Kulemba pa Wikipedia	Help:ページの編集
Free State	フリーステイト州
Ndya	センダン
North West (South Africa)	北西州 (南アフリカ)
Nimu	インドセンダン
Akafula	ピグミー
Ezekieli	エゼキエル書
Bingu wa Mutharika	ビング・ワ・ムタリカ
Hastings Kamuzu Banda	ヘイスティングズ・カムズ・バンダ
Blantyre	ブランタイヤ
Kwacha ya Malaŵi	マラウイ・クワチャ
Mulungu dalitsa Malaŵi	おお、神よ、マラウイに祝福を
Zomba, Malaŵi	ゾンバ
Anggun	アングン
Cham'mwanba	ワサビノキ
Bakili Muluzi	バキリ・ムルジ
Katekisma wa Heidelberg	ハイデルベルク信仰問答
Stand and Sing of Zambia, Proud and Free	誇りと自由を胸に、ザンビアの歌を
Malia	マリア (マラウイの歌手)
Mzuzu	ムズズ
Livingstonia	リビングストニア
Baskin-Robbins	バスキン・ロビンス
Nandalo	キマメ
John Chilembwe	ジョン・チレンブウェ
University of Malawi	マラウイ大学
United Democratic Front	統一民主戦線 (マラウイ)
Pigazzano	ピガッツァーノ
Balaka	バラカ (マラウイ)
Luchenza	ルチェンザ
Malawi Congress Party	マラウイ会議党
Chipoka	チポカ
Kwacha	クワチャ
Democratic Progressive Party	民主進歩党 (マラウイ)
Neno	ネノ
Mtsinje wa Dwangwa	ドワングワ川
Liwonde	リウォンデ
John Tembo	ジョン・テンボ
Category:Russia	Category:ロシア
Category:South Africa	Category:南アフリカ共和国
Category:Zomera	Category:植物
Phiri la Mulanje	ムランジェ山
Mzimba	ムジンバ (マラウイの都市)
Limbe, Malaŵi	リンベ (マラウイの地区)
Category:Akhristu	Category:キリスト教
Mtsinje wa Shire	シーレ川
Bonongwe	ハリビユ
Category:Stubs	Category:スタブ
Category:Categories	Category:カテゴリを集めたカテゴリ
Category:Wikipedia bots	Category:Wikipedia bots
Wikipedia:Administrators	Wikipedia:管理者
Template:Bot	Template:Bot
Template:Documentation	Template:Documentation
Category:Wikipedians by language	Category:言語別の利用者
Sung Jae-gi	成在基
Alliance for Democracy	民主同盟 (マラウイ)
Template:Softredirect	Template:Softredirect
Template:Delete	Template:即時削除
Category:Chilankhulo	Category:諸言語
Category:Wikipedia	Category:ウィキペディア
Wikipedia:Statistics	Wikipedia:統計
Template:-	Template:-
Chakufwa Chihana	チャクフワ・チハナ
Template:Transclude	Template:Transclude
Template:Col-break	Template:Col-break
Template:Col-begin	Template:Col-begin
Template:Col-end	Template:Col-end
Wikipedia:Vital articles	Wikipedia:すべての言語版にあるべき項目の一覧
Category:Africa	Category:アフリカ
Category:Baibulo	Category:聖書
Category:Miyezi	Category:月 (暦)
Template:Babel	Template:Babel
Template:Provinces of South Africa	Template:南アフリカ共和国の州
Template:Commons	Template:Commons
Template:Stub	Template:Stub
Template:See also	Template:See also
Template:User da	Template:User da
Template:User be-2	Template:User be-2
Template:User da-1	Template:User da-1
Template:User cs-1	Template:User cs-1
Template:User bg-1	Template:User bg-1
Template:User eo-3	Template:User eo-3
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User en-0	Template:User en-0
Template:User en	Template:User en
Template:User es-1	Template:User es-1
Template:User fr-1	Template:User fr-1
Template:User it-3	Template:User it-3
Template:User sk	Template:User sk
Template:User tr	Template:User tr
Template:User ja-1	Template:User ja-1
Template:User it-1	Template:User it-1
Template:User hr-1	Template:User hr-1
Category:MaBoma a South Africa	Category:南アフリカ共和国の州
Category:User uk	Category:User uk
Category:User uk-N	Category:User uk-N
Template:Mod	Template:Mod
Template:Pn	Template:要ページ番号
Template:SIL	Template:Infobox Language/codelist
Template:User uk	Template:User uk
Template:User es-2	Template:User es-2
Template:Welcome	Template:Welcome
Category:User fr-1	Category:User fr-1
Template:Collapsible list	Template:Collapsible list
Template:Documentation/docname	Template:Documentation/docname
Gwanda Chakuamba	グアンダ・チャクアンバ
Template:Location map	Template:Location map
Category:User en	Category:User en
Category:User en-2	Category:User en-2
Template:Infobox	Template:Infobox
Template:User ru-4	Template:User ru-4
Template:User nl-2	Template:User nl-2
Template:Infobox settlement	Template:Infobox Settlement
Template:User ru	Template:User ru
Template:PoSA Commons	Template:Commonscat-inline
Template:Both	Template:Both
Template:User pl-1	Template:User pt-1
Template:User no-2	Template:User no-2
Template:Geobox coor	Template:Geobox coor
Template:Purge	Template:Purge
Template:Infobox Continent	Template:Infobox Continent
Template:Coord	Template:Coord
Category:User be	Category:User be
Category:User hr	Category:User hr
Category:User sk	Category:User sk
Category:User sl	Category:User sl
Category:User eo	Category:User eo
Category:User fr	Category:User fr
Category:User ja	Category:User ja
Category:User mk	Category:User mk
Category:User pt	Category:User pt
Category:User sv	Category:User sv
Category:User sw	Category:User sw
Category:User it-3	Category:User it-3
Category:User cs-1	Category:User cs-1
Category:User da-1	Category:User da-1
Category:User sl-1	Category:User sl-1
Category:User mk-1	Category:User mk-1
Category:User sw-1	Category:User sw-1
Category:User be-2	Category:User be-2
Category:User nl-2	Category:User nl-2
Category:User ru-N	Category:User ru-N
Category:User bg	Category:User bg
Category:User bg-1	Category:User bg-1
Category:User cs	Category:User cs
Category:User da	Category:User da
Category:User sk-N	Category:User sk-N
Category:User de	Category:User de
Category:User en-3	Category:User en-3
Category:User en-N	Category:User en-N
Category:User eo-3	Category:User eo-3
Category:User es	Category:User es
Category:User es-1	Category:User es-1
Category:User es-2	Category:User es-2
Category:User hr-1	Category:User hr-1
Category:User it	Category:User it
Category:User it-1	Category:User it-1
Category:User ja-1	Category:User ja-1
Template:User sv-1	Template:User sv-1
Template:User sw-1	Template:User sw-1
Category:Maiko a ku Africa	Category:アフリカの国
Category:User pt-N	Category:User pt-N
Category:User ru	Category:User ru
Category:User ru-4	Category:User ru-4
Category:User sv-1	Category:User sv-1
Category:User tr	Category:User tr
Category:User tr-N	Category:User tr-N
Category:User uk-4	Category:User uk-4
Category:Malaŵi	Category:マラウイ
Category:Mozambique	Category:モザンビーク
Template:User mk-1	Template:User mk-1
Template:User no-1	Template:User no-1
Template:User pt	Template:User pt
Template:User uk-4	Template:User uk-4
Category:Zambia	Category:ザンビア
Category:User nl	Category:User nl
Category:User no-1	Category:User no-1
Category:User no-2	Category:User no-2
Category:User no	Category:User no
Category:ZiPani za ndale	Category:政党
Template:User sl-1	Template:User sl-1
Trojany	トロヤニ (マゾフシェ県)
Category:ZiPani za ndale za ku Malaŵi	Category:マラウイの政党
Category:User en-1	Category:User en-1
Category:User de-1	Category:User de-1
Category:User da-N	Category:User da-N
Special:RecentChanges	特別:最近の更新
Module:HtmlBuilder	モジュール:HtmlBuilder
Module:Coordinates	モジュール:Coordinates
