Aphrika	アフリカ
Nihun	日本
Urin Awya Yala	南アメリカ
Nurwiga	ノルウェー
Inlatirra	イングランド
Iskusya	スコットランド
Kamri	ウェールズ
Chinchay Ilanda	北アイルランド
Ilanda	アイルランド
Unriya	ハンガリー
Ispaña	スペイン
Hukllachasqa Amirika Suyukuna	アメリカ合衆国
Bilhika	ベルギー
Luksimbur	ルクセンブルク
Ch'askancha	宇宙
Tiksimuyu	地球
Kawsay	生命
Wañuy	死
Runa	ヒト
Kusikuy	幸福
George Washington	ジョージ・ワシントン
Stanley Kubrick	スタンリー・キューブリック
Phinsuyu	フィンランド
Suwidsuyu	スウェーデン
Dansuyu	デンマーク
Pulunya	ポーランド
Lituwa	リトアニア
Italya	イタリア
Suwisa	スイス
Awstiriya	オーストリア
Grisya	ギリシャ
Turkiya	トルコ
Sirwisa	ビール
Purtugal	ポルトガル
Iwrupa	ヨーロッパ
Asya	アジア
Chinchay Awya Yala	北アメリカ
Antartika	南極大陸
Wikipidiya	ウィキペディア
Urasuyu	オランダ
Ullu	陰茎
New York	ニューヨーク
Washington DC	ワシントンD.C.
San Francisco (California)	サンフランシスコ
Berlin	ベルリン
Los Angeles	ロサンゼルス
Antañiqiq	コンピュータ
Bern	ベルン
Genève	ジュネーヴ
Zürich	チューリッヒ
Internet	インターネット
Barack Obama	バラク・オバマ
Uruwayi	ウルグアイ
Basel	バーゼル
Antañiqiq ch'ipachina	プリンター
London	ロンドン
Qahira	カイロ
Uma nanay	頭痛
Iskandariya	アレクサンドリア
Mansana	リンゴ
Paris	パリ
Abraham Lincoln	エイブラハム・リンカーン
Google	Google
Mishiku	メキシコ
Atlantiku mama qucha	大西洋
Sanp'a mama qucha	太平洋
California suyu	カリフォルニア州
Boston (Massachusetts)	ボストン
Killachaw	月曜日
Qhulla puquy killa	1月
Hatun puquy killa	2月
Pawqar waray killa	3月
Awqakuq	火星
Kinya	ケニア
Ithiyupya	エチオピア
Gana	ガーナ
Ayriway killa	4月
Aymuray killa	5月
Inti raymi killa	6月
Anta situwa killa	7月
Chakra yapuy killa	8月
Tarpuy killa	9月
Kantaray killa	10月
Ayamarq'a killa	11月
Qhapaq raymi killa	12月
Atipachaw	火曜日
Quyllurchaw	水曜日
Illapachaw	木曜日
Ch'askachaw	金曜日
K'uychichaw	土曜日
Intichaw	日曜日
Liyun	ライオン
Ransiya	フランス
Esperanto simi	エスペラント
Allqu	イヌ
Hukllachasqa Qhapaq Suyu	イギリス
Michi	ネコ
Chunwa Runallaqta Ripuwlika	中華人民共和国
Ransis simi	フランス語
Challwa	魚類
Ethanul	エタノール
Brasil	ブラジル
Alkul	アルコール
François Hollande	フランソワ・オランド
Rusiya	ロシア
Wallina	クジラ目
Q'aytucha	繊維
T'asra	正方形
Hatun qucha	海
Yana hatun qucha	黒海
Chiqaluwa	円周率
Wiki	ウィキ
Toronto	トロント
Alabama suyu	アラバマ州
São Paulo	サンパウロ
São Paulo suyu	サンパウロ州
Quebec pruwinsya	ケベック州
Wikimedia	ウィキメディア財団
Jimmy Wales	ジミー・ウェールズ
Alimanya	ドイツ
Bilarus	ベラルーシ
Aliman simi	ドイツ語
Islandya	アイスランド
Apuyaya	神
Istunya	エストニア
David Cameron	デーヴィッド・キャメロン
Hawcha	土星
Chukulati	チョコレート
Antanka	飛行機
Maqanakuy	戦争
Huk	1
Iskay	2
Kimsa	3
Tawa	4
Pichqa	5
Ch'usaq yupay	0
Stephen Harper	スティーヴン・ハーパー
George Walker Bush	ジョージ・W・ブッシュ
Wask'a	長方形
Chiqan chhuka	直角
Litunya	ラトビア
Ukranya	ウクライナ
Chiksuyu	チェコ
Isluwakya	スロバキア
Isluwinya	スロベニア
Vilnius	ヴィリニュス
Mulduwa	モルドバ
Rumanya	ルーマニア
Bulgarya	ブルガリア
Roma	ローマ
Makidunya	マケドニア共和国
Albanya	アルバニア
Kalalit Suyu	グリーンランド
Hurwatsuyu	クロアチア
Busna-Hirsiquwina	ボスニア・ヘルツェゴビナ
Asarsuyu	アゼルバイジャン
Andurra	アンドラ
Kipru	キプロス
Kartulsuyu	グルジア
Qasaqsuyu	カザフスタン
Malta	マルタ
Munaku	モナコ
Yanaurqu	モンテネグロ
Watikanu llaqta	バチカン
San Marino	サンマリノ
Brussel	ブリュッセル市
Kuwa	キューバ
Bilisi	ベリーズ
Yatana llumpa	キーボード (コンピュータ)
Indunisya	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Ludwig van Beethoven	ルートヴィヒ・ヴァン・ベートーヴェン
Turku simi	トルコ語
Urin Aphrika	南アフリカ共和国
Alhirya	アルジェリア
Usbiksuyu	ウズベキスタン
Poznań	ポズナン
Warszawa	ワルシャワ
Modena	モデナ
Winu	ワイン
Yaku	水
Qiru	木材
Ñawikaruy	テレビ
Islandya simi	アイスランド語
Claude Monet	クロード・モネ
Diego Velázquez	ディエゴ・ベラスケス
Chili	チリ
El Greco	エル・グレコ
Jesus	イエス・キリスト
Elvis Presley	エルヴィス・プレスリー
Galileo Galilei	ガリレオ・ガリレイ
Qatuylla	水星
Wiñay kawsay	歴史
Ch'aska	金星
Rimay	言語
Khuyay	愛
Llaqta saruy	独裁政治
Ñuñu warani	銀河
Pirwa	木星
Michelle Bachelet	ミシェル・バチェレ
Qullqaquyllur	銀河系
Hatun t'uqyay	ビッグバン
Uranu (puriq quyllur)	天王星
Bretagne	ブルターニュ
Nicolas Sarkozy	ニコラ・サルコジ
Niptun (puriq quyllur)	海王星
Quyllur yachay	天文学
Singapur	シンガポール
Hamut'ay	科学
Plutun (tuna puriq quyllur)	冥王星
Montreal	モントリオール
Qhipa pacha	未来
Qullana Mariya	イエスの母マリア
Liechtenstein	リヒテンシュタイン
Kurku kallpanchay	スポーツ
Cambridge	ケンブリッジ
Yellowstone mamallaqta parki	イエローストーン国立公園
Adolf Hitler	アドルフ・ヒトラー
Huk ñiqin pachantin maqanakuy	第一次世界大戦
Iskay ñiqin pachantin maqanakuy	第二次世界大戦
Köln	ケルン
Pacha tupuq	時計
Skopje	スコピエ
Gdynia	グディニャ
Linux	Linux
Szczecin	シュチェチン
Yupay yachay	数学
U2	U2
Latin simi	ラテン語
Bahrayn	バーレーン
Arminya	アルメニア
Sirbya	セルビア
Killa	月
Istanbul	イスタンブル
Awstralya	オーストラリア
Bob Marley	ボブ・マーリー
Carl Sagan	カール・セーガン
Pachaykamay	物理学
Arhintina	アルゼンチン
Piruw	ペルー
Kawsay yachay	生物学
Chusun Runakapaq Runallaqta Republika	朝鮮民主主義人民共和国
Kambuya	カンボジア
Quran	クルアーン
Dinusawru	恐竜
Suwuluhiya	動物学
Islam	イスラム教
Pira	ナシ属
Ljubljana	リュブリャナ
Salvador Allende	サルバドール・アジェンデ
Butanika	植物学
Lech Wałęsa	レフ・ヴァウェンサ
Qalla	車輪
Thak	平和
Lyon	リヨン
Iwrupa Huñu	欧州連合
Rhône-Alpes	ローヌ＝アルプ地域圏
Warmi	女性
Sofiya	ソフィア (ブルガリア)
Witkhu	水道橋
Ñ	Ñ
Don Quijote	ドン・キホーテ
Harawi	詩
Antañiqiq añaw	コンピュータウイルス
Asikuy	微笑み
Milano	ミラノ
Yuyay	記憶
Torino	トリノ
Aka	糞
Sip'uti	肛門
Puquy k'allku	レモン
Émile Zola	エミール・ゾラ
666	666年
Tuktu	花
Chomolungma	エベレスト
Kurkumanta yachay	解剖学
Hatun llaqta	都市
Napoléon Bonaparte	ナポレオン・ボナパルト
Quyllur	恒星
Inti	太陽
Hanaq pacha	空
Louis Pasteur	ルイ・パスツール
Achkiy wata	光年
Victor Hugo	ヴィクトル・ユーゴー
Usiyanya	オセアニア
Giuseppe Garibaldi	ジュゼッペ・ガリバルディ
Kallpanakuy	陸上競技
Inti Llika	太陽系
Baltiku hatun qucha	バルト海
Trieste	トリエステ
Kiru	歯
Yakuchaq	水素
Ilyu	ヘリウム
Ukhu pacha	地獄
Wikimedia Commons	ウィキメディア・コモンズ
Angela Merkel	アンゲラ・メルケル
Lityu	リチウム
Berilyu	ベリリウム
Ruqyaq	スピーカー
Liwru	本
P'unchaw	日
Anti Timur	東ティモール
Tuta	夜
Wata	年
Pachakwata	世紀
Łódź	ウッチ
Rhein	ライン川
Oslo	オスロ
Bonn	ボン
Tukuy Santukuna	諸聖人の日
Katowice	カトヴィツェ
Luís de Camões	ルイス・デ・カモンイス
Chinaku	ゲイ
Siris (tuna puriq quyllur)	ケレス (準惑星)
Lisboa	リスボン
Rzeszów	ジェシュフ
Haumea (puriq quyllur)	ハウメア (準惑星)
Makemake (tuna puriq quyllur)	マケマケ (準惑星)
Eris (tuna puriq quyllur)	エリス (準惑星)
Lionel Messi	リオネル・メッシ
Padova	パドヴァ
Boru	ホウ素
Nicolaus Copernicus	ニコラウス・コペルニクス
K'illimsayaq	炭素
Alessandro Del Piero	アレッサンドロ・デル・ピエロ
Qullpachaq	窒素
Bergamo	ベルガモ
Muksichaq	酸素
Inter Milano	インテルナツィオナーレ・ミラノ
Pachahina	惑星
Kleopatra VII	クレオパトラ7世
Taki kapchiy	音楽
Venezia	ヴェネツィア
Rennes	レンヌ
Lille	リール (フランス)
Moskwa	モスクワ
Flur	フッ素
Italya simi	イタリア語
Niyun	ネオン
Chihuahua suyu	チワワ州
Sankt Peterburg	サンクトペテルブルク
Chad	チャド
Natriyu	ナトリウム
Chincha	北
Qunta q'illay	マグネシウム
Ch'aqu q'illay	アルミニウム
Musuq Silanda	ニュージーランド
Urin	南
Indya	インド
Ullayayaq	ケイ素
Fransyu	フランシウム
Tuwalu	ツバル
Phusphuru	リン
Khillay	鉄
Tunqa	トンガ
Kunti	西
Alessandro Volta	アレッサンドロ・ボルタ
Salina	硫黄
Samwa	サモア
Anti	東
Salumun wat'akuna	ソロモン諸島
Wanwatu	バヌアツ
Molière	モリエール
Kluru	塩素
Delft	デルフト
Papwa Ñukini	パプアニューギニア
William Shakespeare	ウィリアム・シェイクスピア
Zuid-Holland pruwinsya	南ホラント州
Palaw	パラオ
Argun	アルゴン
Nawru	ナウル
Noord-Holland pruwinsya	北ホラント州
Mikrunisya (mama llaqta)	ミクロネシア連邦
Kalyu	カリウム
Zeeland pruwinsya	ゼーラント州
Isku q'illay	カルシウム
Flevoland pruwinsya	フレヴォラント州
Titi	鉛
Marshall Wat'akuna	マーシャル諸島
Kiribati	キリバス
Mungul suyu	モンゴル国
Phiyi	フィジー
Iskandyu	スカンジウム
Titanyu	チタン
Winisuyla	ベネズエラ
Qhapaq chunkana	チェス
Wanadyu	バナジウム
Maine suyu	メイン州
Krumu	クロム
Kawallu	ウマ
Amsterdam	アムステルダム
Ayñi	武器
Uywa	動物
Surinam	スリナム
Manganisu	マンガン
Parawayi	パラグアイ
Wayana	ガイアナ
Kapchiy	芸術
Ikwadur	エクアドル
Renyu	レニウム
Kulumbya	コロンビア
Kubaltu	コバルト
Wolframyu	タングステン
Nikil	ニッケル
Muntipuquy	オランダイチゴ属
Budismu	仏教
Groningen	フローニンゲン
Puliwya	ボリビア
Osmiyu	オスミウム
Groningen pruwinsya	フローニンゲン州
Anta	銅
Trinidad Tubaguwan	トリニダード・トバゴ
Yura	植物
Tsinku	亜鉛
New Hampshire suyu	ニューハンプシャー州
Santa Lusiya wat'a	セントルシア
Białystok	ビャウィストク
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
San Kits Niwiswan	セントクリストファー・ネイビス
