افریقہ	アフリカ
جاپان	日本
جنوبی امریکہ	南アメリカ
ناروے	ノルウェー
انگلستان	イングランド
سکاٹ لینڈ	スコットランド
ویلز	ウェールズ
شمالی آئر لینڈ	北アイルランド
جمہوریہ آئرستان	アイルランド
مجارستان	ハンガリー
ہسپانیہ	スペイン
ریاستہائے متحدہ امریکہ	アメリカ合衆国
بلجئیم	ベルギー
لکسمبرگ	ルクセンブルク
کائنات	宇宙
زمین	地球
حیات (مقالہ ثانی)	生命
موت (مقالہ ثانی)	死
انسان	ヒト
خوشی	幸福
جارج واشنگٹن	ジョージ・ワシントン
جیک باور	ジャック・バウアー
ڈگلس ایڈمس	ダグラス・アダムズ
ٹم برنرز لی	ティム・バーナーズ＝リー
وحش کا عدد	獣の数字
سٹینلے کوبریک	スタンリー・キューブリック
ویکی ڈیٹا	ウィキデータ
فن لینڈ	フィンランド
سویڈن	スウェーデン
ڈنمارک	デンマーク
پولینڈ	ポーランド
لتھووینیا	リトアニア
اطالیہ	イタリア
سویٹزرلینڈ	スイス
آسٹریا	オーストリア
یونان	ギリシャ
ترکی	トルコ
بیئر	ビール
پرتگال	ポルトガル
یورپ	ヨーロッパ
ایشیاء	アジア
شمالی امریکہ	北アメリカ
انٹارکٹکا	南極大陸
ویکیپیڈیا:ویکیپیڈیا	ウィキペディア
نیدرلینڈز	オランダ
پی ایچ پی	PHP: Hypertext Preprocessor
نیویارک شہر	ニューヨーク
واشنگٹن ڈی سی	ワシントンD.C.
سان فرانسسکو	サンフランシスコ
برلن	ベルリン
لاس اینجلس	ロサンゼルス
بوئنگ	ボーイング
کمپیوٹر	コンピュータ
برن	ベルン
جنیوا	ジュネーヴ
زیورخ	チューリッヒ
انٹرنیٹ	インターネット
بارک اوبامہ	バラク・オバマ
یوراگوئے	ウルグアイ
بازیل	バーゼル
طابع	プリンター
میڈیاویکی	MediaWiki
لندن	ロンドン
قاہرہ	カイロ
سردرد	頭痛
اسکندریہ	アレクサンドリア
سیب	リンゴ
پیرس	パリ
ابراہام لنکن	エイブラハム・リンカーン
اینڈروئیڈ	Android
گوگل	Google
بحر اوقیانوس	大西洋
بحر الکاہل	太平洋
کیلی فورنیا	カリフォルニア州
بوسٹن, میساچوسٹس	ボストン
پیر	月曜日
جنوری	1月
فروری	2月
مارچ	3月
مریخ	火星
کینیا	ケニア
ایتھوپیا	エチオピア
بادشاہ	君主
گھانا	ガーナ
اپریل	4月
مئی	5月
جون	6月
جولائی	7月
اگست	8月
ستمبر	9月
اکتوبر	10月
نومبر	11月
دسمبر	12月
منگل	火曜日
بدھ	水曜日
جمعرات	木曜日
جمعہ	金曜日
ہفتہ	土曜日
اتوار	日曜日
فیلہ (شطرنج)	ビショップ
پیادہ (شطرنج)	ポーン
گھوڑا (شطرنج)	ナイト (チェス)
بادشاہ (شطرنج)	キング (チェス)
ملکہ (شطرنج)	クイーン (チェス)
ببر (شیر)	ライオン
فرانس	フランス
اسپرانتو	エスペラント
کتا	イヌ
برطانیہ	イギリス
بلی	ネコ
چین	中華人民共和国
فرانسیسی زبان	フランス語
ویکی لغت	ウィクショナリー
مچھلی	魚類
ایتھنول	エタノール
الکحلی مشروب	酒
برازیل	ブラジル
الکحل	アルコール
روس	ロシア
حوتیہ	クジラ目
ریشہ	繊維
یارکشائر	ヨークシャー
مربع (ہندسہ)	正方形
بحیرہ	海
بحیرہ اسود	黒海
پائی	円周率
ویکی	ウィキ
ٹورانٹو	トロント
الاباما	アラバマ州
ساؤ پاؤلو	サンパウロ
ساؤ پاؤلو (ریاست)	サンパウロ州
کیوبیک	ケベック州
مؤسسہ ویکیمیڈیا	ウィキメディア財団
جیمی ویلز	ジミー・ウェールズ
جرمنی	ドイツ
بیلاروس	ベラルーシ
جرمن زبان	ドイツ語
آئس لینڈ	アイスランド
خدا	神
استونیا	エストニア
ڈیوڈ کیمرن	デーヴィッド・キャメロン
زحل	土星
حلقہ ہائے زحل	土星の環
چاکلیٹ	チョコレート
آلو بالو	サクランボ
طیارہ	飛行機
جنگ	戦争
1 (عدد)	1
2 (عدد)	2
3 (عدد)	3
4 (عدد)	4
5 (عدد)	5
صفر (عدد)	0
متناہی اور لامتناہی	無限
اسٹیفن ہارپر	スティーヴン・ハーパー
جارج ڈبلیو بش	ジョージ・W・ブッシュ
مستطیل	長方形
لٹویا	ラトビア
یوکرین	ウクライナ
چیک جمہوریہ	チェコ
سلوواکیہ	スロバキア
سلووینیا	スロベニア
ولنیس	ヴィリニュス
مالدووا	モルドバ
رومانیہ	ルーマニア
بلغاریہ	ブルガリア
روم	ローマ
جمہوریہ مقدونیہ	マケドニア共和国
البانیا	アルバニア
گرین لینڈ	グリーンランド
کروشیا	クロアチア
بوسنیا و ہرزیگووینا	ボスニア・ヘルツェゴビナ
نوک	ヌーク
آذربائیجان	アゼルバイジャン
انڈورا	アンドラ
قبرص	キプロス
جارجیا	グルジア
والونیا	ワロン地域
قازقستان	カザフスタン
مالٹا	マルタ
فلینڈرس	フランドル
موناکو	モナコ
مونٹینیگرو	モンテネグロ
ویٹیکن سٹی	バチカン
سان مارینو	サンマリノ
برسلز	ブリュッセル
کیوبا	キューバ
بیلیز	ベリーズ
ایفل ٹاور	エッフェル塔
بارباڈوس	バルバドス
ووکس ویگن	フォルクスワーゲン
لاسلکی	無線通信
تختۂ کلید	キーボード (コンピュータ)
انڈونیشیا	インドネシア
وولف گینگ موزارٹ	ヴォルフガング・アマデウス・モーツァルト
لڈوگ بیتھوون	ルートヴィヒ・ヴァン・ベートーヴェン
ترکی زبان	トルコ語
جنوبی افریقہ	南アフリカ共和国
لنکن پارک	リンキン・パーク
الجزائر	アルジェリア
ازبکستان	ウズベキスタン
پوزنان	ポズナン
تاشقند	タシュケント
وارسا	ワルシャワ
شراب	ワイン
پانی	水
چمڑہ	皮革
لکڑی	木材
ٹیلی ویژن	テレビ
جنس (حیاتیات)	性 (生物学)
فحش نگاری	ポルノグラフィ
ڈیگو ولازکوئز	ディエゴ・ベラスケス
چلی	チリ
ایل گریکو	エル・グレコ
عیسیٰ علیہ السلام	イエス・キリスト
ایلوس پریسلے	エルヴィス・プレスリー
جسمانی سزا	体罰
گلیلیو گلیلی	ガリレオ・ガリレイ
عطارد	水星
تاریخ	歴史
ایپل انکارپوریشن	アップル インコーポレイテッド
زہرہ	金星
لسان	言語
محبت	愛
آمریت	独裁政治
کہکشاں	銀河
مشتری	木星
مشیل باشیلے	ミシェル・バチェレ
جادہ شیر	銀河系
انفجار عظیم	ビッグバン
یورینس	天王星
برٹنی	ブルターニュ
انگریزی ویکیپیڈیا	英語版ウィキペディア
نکولس سرکوزی	ニコラ・サルコジ
نیپچون	海王星
فلکیات	天文学
سنگاپور	シンガポール
سائنس	科学
علم الکائنات	宇宙論
پلوٹو	冥王星
مانٹریال	モントリオール
آزاد سوفٹویئر	フリーソフトウェア
لا فلیشی	ラ・フレーシュ
مستقبل	未来
مریم علیہا السلام	イエスの母マリア
لیختینستائن	リヒテンシュタイン
کھیل کود	スポーツ
کیمبرج	ケンブリッジ
ییلوسٹون نیشنل پارک	イエローストーン国立公園
ہٹلر	アドルフ・ヒトラー
فیس بک	Facebook
گوگل+	Google+
گوانتانمو قید خانہ	グアンタナモ湾収容キャンプ
ویکی لیکس	ウィキリークス
جولین اسانژ	ジュリアン・アサンジ
پہلی جنگ عظیم	第一次世界大戦
دوسری جنگ عظیم	第二次世界大戦
کولون (علاقہ)	ケルン
سیاسی بدعنوانی	汚職
آگسٹو پنوشے	アウグスト・ピノチェト
ویکی اقتباسات	ウィキクォート
ویکی سفرنامہ	ウィキボヤージュ
گھنٹا	時計
اوبنٹو	Ubuntu
اسکوپیہ	スコピエ
لینکس	Linux
پیمائشیات	計量学
ریاضی	数学
لاطینی زبان	ラテン語
بحرین	バーレーン
آرمینیا	アルメニア
خط میخنی	楔形文字
ہگ بوسون	ヒッグス粒子
سربیا	セルビア
چاند	月
استنبول	イスタンブル
لنڈا لولیس	リンダ・ラヴレース
آسٹریلیا	オーストラリア
کارل ساگان	カール・セーガン
حیاتیات خلا	宇宙生物学
طبیعیات	物理学
ارجنٹائن	アルゼンチン
بعید ابلاغیات	電気通信
پیرو	ペルー
حیاتیات	生物学
شمالی کوریا	朝鮮民主主義人民共和国
کمبوڈیا	カンボジア
قرآن	クルアーン
حیوان المہیب	恐竜
حیوانیات	動物学
اسلام	イスラム教
ناشپاتی	ナシ属
کتب خانہ اسکندریہ	アレクサンドリア図書館
لیوبلیانا	リュブリャナ
نباتیات	植物学
لیخ فاوینسا	レフ・ヴァウェンサ
پہیہ	車輪
عقل	心
امن	平和
دائرۃ المعارف بریطانیکا	ブリタニカ百科事典
لیون	リヨン
یورپی اتحاد	欧州連合
پلوودیف	プロヴディフ
حبالہ محیط عالم (مقالہ ثانی)	World Wide Web
عورت	女性
صوفیہ	ソフィア (ブルガリア)
ڈان کے خوتے	ドン・キホーテ
نظم	詩
کمپیوٹر وائرس	コンピュータウイルス
ہیروشیما اور ناگاساکی میں ایٹمی بمباری	日本への原子爆弾投下
میلان	ミラノ
دوستی	友情
تورینو	トリノ
براز	糞
مقعد	肛門
بغل	腋の下
لیموں	レモン
کیلا	バナナ
666ء	666年
پھول	花
ماریانا ٹرینچ	マリアナ海溝
ولادیمیر ویسوٹسکی	ヴラジーミル・ヴィソツキー
ماؤنٹ ایورسٹ	エベレスト
تشریح (حیاتیات)	解剖学
شہر	都市
نپولین	ナポレオン・ボナパルト
فعلیات	生理学
ستارہ	恒星
سورج	太陽
آسمان	空
لوئی پاسچر	ルイ・パスツール
نوری سال	光年
وکٹر ہیوگو	ヴィクトル・ユーゴー
اوقیانوسیہ	オセアニア
گیریبالڈی	ジュゼッペ・ガリバルディ
ارویتو	オルヴィエート
ایتھلیٹکس	陸上競技
نظام شمسی	太陽系
بحیرہ بالٹک	バルト海
تریستے	トリエステ
شانزے لیزے	シャンゼリゼ通り
دانت	歯
ہائیڈروجن	水素
ہیلیئم	ヘリウム
ویکیمیڈیا العام	ウィキメディア・コモンズ
انگیلا میرکل	アンゲラ・メルケル
لیتھیئم	リチウム
بلوصر	ベリリウム
بلندگو	スピーカー
کتاب	本
دن	日
مشرقی تیمور	東ティモール
رات	夜
سال	年
خط الوقت	世紀
ویوربن	ヴィルールバンヌ
مونٹ بلانک	モンブラン
دریائے رائن	ライン川
اوسلو	オスロ
بون	ボン
کاتوویتس	カトヴィツェ
ثقب اسود	ブラックホール
مسدومی	ゲイ
لزبن	リスボン
ایچیرو سوزوکی	イチロー
دریائے رون	ローヌ川
دبئی	ドバイ
لیونل میسی	リオネル・メッシ
نکولس کوپرنیکس	ニコラウス・コペルニクス
کاربن	炭素
دریائے وولگا	ヴォルガ川
نائٹروجن	窒素
بیرگامو	ベルガモ
آکسیجن	酸素
سیارہ	惑星
قلوپطرہ	クレオパトラ7世
موسیقی	音楽
وینس	ヴェネツィア
دریائے پو	ポー川
شرم الشیخ	シャルム・エル・シェイク
حر پیما	温度計
رین	レンヌ
لیل	リール (フランス)
ماسکو	モスクワ
اطالوی زبان	イタリア語
نیون	ネオン
چہواہوا	チワワ州
سینٹ پیٹرز برگ	サンクトペテルブルク
چاڈ	チャド
سوڈیم	ナトリウム
شمال	北
ایلومینیم	アルミニウム
نیوزی لینڈ	ニュージーランド
جنوب	南
بھارت	インド
فرانسیئم	フランシウム
تووالو	ツバル
فاسفورس	リン
نثر	散文
لوہا	鉄
ٹونگا	トンガ
مغرب-سمت	西
گندھک	硫黄
سامووا	サモア
مشرق	東
جزائر سلیمان	ソロモン諸島
وانواتو	バヌアツ
مولیر	モリエール
پاپوا نیو گنی	パプアニューギニア
