Afrig	アフリカ
Sapoŋ	日本
Bëj-saalumu Aamerig	南アメリカ
Noorwees	ノルウェー
Irlaand	アイルランド
Ongiri	ハンガリー
Ispaañ	スペイン
Diiwaan yu Bennoo	アメリカ合衆国
Belsik	ベルギー
Luksambuur	ルクセンブルク
Suuf	地球
Finlaand	フィンランド
Suweed	スウェーデン
Danmaark	デンマーク
Poloñ	ポーランド
Lituwaani	リトアニア
Itaali	イタリア
Suwis	スイス
Otris	オーストリア
Girees	ギリシャ
Tirki	トルコ
Portugaal	ポルトガル
Tugal	ヨーロッパ
Asi	アジア
Bëj-gànnaaru Aamerig	北アメリカ
Goxub Dottub Bëj-saalum	南極大陸
Wikipedia	ウィキペディア
Olaand	オランダ
PHP	PHP: Hypertext Preprocessor
Berlin	ベルリン
Nosukaay	コンピュータ
Bern	ベルン
Zurich	チューリッヒ
Internet	インターネット
Uruguwaay	ウルグアイ
Londar	ロンドン
Xayra	カイロ
Alegsàndiri	アレクサンドリア
Pari	パリ
Meksik	メキシコ
Mbàmbulaanug Atlas	大西洋
Mbàmbulaan Gu-Dal	太平洋
Altine	月曜日
Samwie	1月
Fewirie	2月
Maars (weer)	3月
Maas	火星
Keeñaa	ケニア
Ecoopi	エチオピア
Gana	ガーナ
Awril	4月
Mee	5月
Suwe	6月
Sulet	7月
Waxset	8月
Satumbar	9月
Oktoobar	10月
Nowembar	11月
Disambar	12月
Talaata	火曜日
Àllarba	水曜日
Alxames	木曜日
Àjjuma	金曜日
Gaawu	土曜日
Dibéer	日曜日
Gaynde	ライオン
Faraas	フランス
Esperanto	エスペラント
Xaj	イヌ
Nguur-Yu-Bennoo	イギリス
Muus	ネコ
Réewum Popileer bu Siin	中華人民共和国
Wu-faraas	フランス語
Wikbaatukaay	ウィクショナリー
Breesil	ブラジル
Riisi	ロシア
Géej	海
São Paulo	サンパウロ
Almaañ	ドイツ
Belaarus	ベラルーシ
Islaand	アイスランド
Yàlla	神
Estooni	エストニア
Benn	1
Ñaar	2
Ñatt	3
Ñent	4
Juroom	5
Tus	0
Letóoni	ラトビア
Ukreen	ウクライナ
Réewum Cek	チェコ
Eslowaaki	スロバキア
Esloweeni	スロベニア
Wilniyus	ヴィリニュス
Moldaawi	モルドバ
Romaani	ルーマニア
Bulgaari	ブルガリア
Rom	ローマ
Réewum Maseduwaan	マケドニア共和国
Albaani	アルバニア
Groenlaand	グリーンランド
Korwaasi	クロアチア
Bosni	ボスニア・ヘルツェゴビナ
Aserbayjaan	アゼルバイジャン
Andoor	アンドラ
