阿非利加洲	アフリカ
日本	日本
挪威	ノルウェー
英格蘭	イングランド
蘇格蘭	スコットランド
愛爾蘭共和國	アイルランド
匈牙利	ハンガリー
西班牙	スペイン
美國	アメリカ合衆国
比利時	ベルギー
盧森堡	ルクセンブルク
宇宙	宇宙
坤輿	地球
死	死
人	ヒト
華盛頓	ジョージ・ワシントン
芬蘭	フィンランド
瑞典	スウェーデン
丹麥	デンマーク
波蘭	ポーランド
立陶宛	リトアニア
義大利	イタリア
瑞士	スイス
奧地利	オーストリア
希臘共和國	ギリシャ
土耳其	トルコ
啤酒	ビール
葡萄牙	ポルトガル
歐羅巴洲	ヨーロッパ
亞細亞洲	アジア
南極洲	南極大陸
維基大典	ウィキペディア
荷蘭	オランダ
紐約市	ニューヨーク
華盛頓哥倫比亞特區	ワシントンD.C.
柏林	ベルリン
電腦	コンピュータ
共筆臺	MediaWiki
倫敦	ロンドン
巴黎	パリ
安卓	Android
谷歌	Google
墨西哥	メキシコ
太平洋	太平洋
熒惑	火星
衣索比亞	エチオピア
迦納	ガーナ
法國	フランス
世界語	エスペラント
犬	イヌ
英國	イギリス
貓	ネコ
中華人民共和國	中華人民共和国
法蘭西語	フランス語
維基爾雅	ウィクショナリー
乙醇	エタノール
巴西	ブラジル
醇	アルコール
俄羅斯	ロシア
光導纖維	光ファイバー
正方形	正方形
圓周率	円周率
共筆	ウィキ
魁北克	ケベック州
維基媒體基金會	ウィキメディア財団
威霽彌	ジミー・ウェールズ
德國	ドイツ
白俄羅斯	ベラルーシ
德語	ドイツ語
冰島	アイスランド
愛沙尼亞	エストニア
鎮星	土星
飛機	飛行機
一	1
二	2
三	3
〇	0
無限	無限
拉脫維亞	ラトビア
烏克蘭	ウクライナ
捷克	チェコ
斯洛伐克	スロバキア
羅馬尼亞	ルーマニア
保加利亞	ブルガリア
羅馬	ローマ
馬其頓	マケドニア共和国
格陵蘭	グリーンランド
哈薩克	カザフスタン
古巴	キューバ
印度尼西亞	インドネシア
莫扎特	ヴォルフガング・アマデウス・モーツァルト
貝多芬	ルートヴィヒ・ヴァン・ベートーヴェン
南非	南アフリカ共和国
商博良	ジャン＝フランソワ・シャンポリオン
阿爾及利亞	アルジェリア
水	水
電視	テレビ
智利	チリ
耶穌	イエス・キリスト
伽利略	ガリレオ・ガリレイ
辰星	水星
史	歴史
蘋果公司	アップル インコーポレイテッド
太白	金星
語言	言語
愛	愛
歲星	木星
銀河	銀河系
大霹靂	ビッグバン
天王星	天王星
英文維基大典	英語版ウィキペディア
海王星	海王星
新加坡	シンガポール
格致	科学
冥王星	冥王星
列支敦士登	リヒテンシュタイン
希特勒	アドルフ・ヒトラー
臉書	Facebook
第一次世界大戰	第一次世界大戦
第二次世界大戰	第二次世界大戦
烏邦土	Ubuntu
數學	数学
拉丁語	ラテン語
巴林	バーレーン
塞爾維亞	セルビア
月	月
澳大利亞	オーストラリア
物理	物理学
阿根廷	アルゼンチン
秘魯	ペルー
生物學	生物学
朝鮮民主主義人民共和國	朝鮮民主主義人民共和国
柬埔寨	カンボジア
古蘭經	クルアーン
恐龍	恐竜
回教	イスラム教
大英百科	ブリタニカ百科事典
歐羅巴聯盟	欧州連合
朋友	友情
馬里亞納海溝	マリアナ海溝
珠穆朗瑪峰	エベレスト
拿破崙一世	ナポレオン・ボナパルト
恆星	恒星
日	太陽
巴斯特	ルイ・パスツール
光年	光年
大洋洲	オセアニア
太陽系	太陽系
氫	水素
氦	ヘリウム
維基共享	ウィキメディア・コモンズ
鋰	リチウム
鈹	ベリリウム
日（曆法）	日
東帝汶	東ティモール
夜	夜
黑洞	ブラックホール
穀神星	ケレス (準惑星)
妊神星	ハウメア (準惑星)
鳥神星	マケマケ (準惑星)
鬩神星	エリス (準惑星)
硼	ホウ素
碳	炭素
氮	窒素
氧	酸素
行星	惑星
威尼斯	ヴェネツィア
火影忍者	NARUTO -ナルト-
莫斯科	モスクワ
氟	フッ素
義大利語	イタリア語
氖	ネオン
鈉	ナトリウム
鎂	マグネシウム
鋁	アルミニウム
紐西蘭	ニュージーランド
印度	インド
硅	ケイ素
磷	リン
鐵	鉄
硫	硫黄
東	東
氯	塩素
巴布亞新幾內亞	パプアニューギニア
莎士比亞	ウィリアム・シェイクスピア
氬	アルゴン
鉀	カリウム
鈣	カルシウム
鉛	鉛
蒙古國	モンゴル国
鈧	スカンジウム
鈦	チタン
委內瑞拉	ベネズエラ
成吉思汗	チンギス・カン
釩	バナジウム
鉻	クロム
阿姆斯特丹	アムステルダム
動物	動物
錳	マンガン
哥倫比亞	コロンビア
鈷	コバルト
鎢	タングステン
鎳	ニッケル
佛教	仏教
玻利維亞	ボリビア
銅	銅
千里達及托巴哥	トリニダード・トバゴ
植物	植物
鋅	亜鉛
真菌	菌類
牙買加	ジャマイカ
夏威夷	ハワイ州
海地	ハイチ
伊朗	イラン
伊拉克	イラク
哥斯大黎加	コスタリカ
以色列	イスラエル
巴拿馬	パナマ
科威特	クウェート
老撾	ラオス
馬爾地夫	モルディブ
亞美利加洲	アメリカ州
馬來西亞	マレーシア
緬甸	ミャンマー
尼泊爾	ネパール
阿曼	オマーン
巴基斯坦	パキスタン
卡達國	カタール
沙特阿拉伯	サウジアラビア
斯里蘭卡	スリランカ
斯大林	ヨシフ・スターリン
柏拉圖	プラトン
鎵	ガリウム
神奇寶貝	ポケットモンスター
中華民國	中華民国
