非洲	アフリカ
日本	日本
南美洲	南アメリカ
挪威	ノルウェー
英倫	イングランド
蘇格蘭	スコットランド
威爾斯	ウェールズ
北愛爾蘭	北アイルランド
愛爾蘭共和國	アイルランド
匈牙利	ハンガリー
西班牙	スペイン
美國	アメリカ合衆国
比利時	ベルギー
盧森堡	ルクセンブルク
宇宙	宇宙
地球	地球
生命	生命
死	死
人	ヒト
開心	幸福
佐治華盛頓	ジョージ・ワシントン
李柏納	ティム・バーナーズ＝リー
Leet	Leet
寇比力克	スタンリー・キューブリック
維基數據	ウィキデータ
芬蘭	フィンランド
瑞典	スウェーデン
丹麥	デンマーク
波蘭	ポーランド
立陶宛	リトアニア
意大利	イタリア
瑞士	スイス
奧地利	オーストリア
希臘	ギリシャ
土耳其	トルコ
啤酒	ビール
葡萄牙	ポルトガル
歐洲	ヨーロッパ
亞洲	アジア
北美洲	北アメリカ
南極洲	南極大陸
維基百科	ウィキペディア
荷蘭	オランダ
朘	陰茎
PHP	PHP: Hypertext Preprocessor
紐約市	ニューヨーク
華盛頓特區	ワシントンD.C.
三藩市	サンフランシスコ
柏林	ベルリン
洛杉磯	ロサンゼルス
波音	ボーイング
空中客車	エアバス
電腦	コンピュータ
伯恩	ベルン
日內瓦	ジュネーヴ
蘇黎世	チューリッヒ
互聯網	インターネット
奧巴馬	バラク・オバマ
烏拉圭	ウルグアイ
巴塞爾	バーゼル
列印機	プリンター
MediaWiki	MediaWiki
倫敦	ロンドン
開羅	カイロ
頭刺	頭痛
亞歷山大港	アレクサンドリア
蘋果	リンゴ
巴黎	パリ
林肯	エイブラハム・リンカーン
Android	Android
Google	Google
墨西哥	メキシコ
大西洋	大西洋
太平洋	太平洋
加利福尼亞州	カリフォルニア州
波士頓	ボストン
Pneumonoultramicroscopicsilicovolcanoconiosis	ニューモノウルトラマイクロスコーピックシリコヴォルケーノコニオシス
星期一	月曜日
空間	空間
1月	1月
2月	2月
3月	3月
火星	火星
肯雅	ケニア
埃塞俄比亞	エチオピア
君主	君主
加納	ガーナ
4月	4月
5月	5月
6月	6月
7月	7月
8月	8月
9月	9月
10月	10月
11月	11月
12月	12月
星期二	火曜日
星期三	水曜日
星期四	木曜日
星期五	金曜日
星期六	土曜日
星期日	日曜日
獅子	ライオン
法國	フランス
世界語	エスペラント
狗	イヌ
英國	イギリス
貓	ネコ
中華人民共和國	中華人民共和国
法文	フランス語
維基辭典	ウィクショナリー
魚	魚類
乙醇	エタノール
酒	酒
巴西	ブラジル
酒精	アルコール
奧朗德	フランソワ・オランド
俄羅斯	ロシア
鯨魚	クジラ目
約郡	ヨークシャー
正方形	正方形
海	海
黑海	黒海
圓周率	円周率
Π	Π
Wiki	ウィキ
