IAfrika	アフリカ
IJapani	日本
IMelika Eningizimu	南アメリカ
INoki	ノルウェー
INgilandi	イングランド
IsiKotilandi	スコットランド
IWelisi	ウェールズ
I-Ayilendi	アイルランド
ISpeyini	スペイン
IMelika	アメリカ合衆国
IFinlandi	フィンランド
ISwidi	スウェーデン
IDenimaki	デンマーク
IPolandi	ポーランド
ILithuwaniya	リトアニア
ITaliya	イタリア
I-Ostriya	オーストリア
IGreki	ギリシャ
ITheki	トルコ
IPhothugali	ポルトガル
IYurobhu	ヨーロッパ
I-Eshiya	アジア
IMelika Enyakatho	北アメリカ
I-Antatika	南極大陸
Wikipedia	ウィキペディア
Netherlands	オランダ
New York (idolobha)	ニューヨーク
IBerlini	ベルリン
Ikhompiyutha	コンピュータ
Barack Obama	バラク・オバマ
ILondon	ロンドン
Ihhabhula	リンゴ
IParisi	パリ
IMekisiko	メキシコ
California	カリフォルニア州
IKenya	ケニア
I-Ithiopia	エチオピア
IGana	ガーナ
Ibhubesi	ライオン
IFulansi	フランス
Isi-Esperanto	エスペラント
Inja	イヌ
Umbuso Ohlangeneyo	イギリス
Ikati	ネコ
IShayina	中華人民共和国
IsiFulentshi	フランス語
IBrazili	ブラジル
IRashiya	ロシア
Ulwandle	海
IJalimani	ドイツ
IBelarusi	ベラルーシ
IsiJalimani	ドイツ語
I-Ayisilandi	アイスランド
UNkulunkulu	神
I-Estoniya	エストニア
David Cameron	デーヴィッド・キャメロン
USatureni	土星
George W. Bush	ジョージ・W・ブッシュ
ILatviya	ラトビア
ITsheki	チェコ
ISlovaki	スロバキア
IVilnyusi	ヴィリニュス
IBulgariya	ブルガリア
Azerbaijan	アゼルバイジャン
IMalta	マルタ
Indolobha yaseVathikhani	バチカン
USanti Marino	サンマリノ
Belize	ベリーズ
Volkswagen	フォルクスワーゲン
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
IRiphabliki yaseNingizimu Afrika	南アフリカ共和国
IAljiriya	アルジェリア
IWarshawa	ワルシャワ
Amanzi	水
Isi-Icelandic	アイスランド語
ITshile	チリ
Apple	アップル インコーポレイテッド
UVenusi	金星
U-Uranu	天王星
UNepetuni	海王星
UPluto	冥王星
Facebook	Facebook
Ubuntu (uhlelo)	Ubuntu
Imathemathiki	数学
U2	U2
ILatin	ラテン語
ISerbiya	セルビア
Inyanga	月
I-Ostreliya	オーストラリア
Peru	ペルー
Mount Everest	エベレスト
Ilanga	太陽
I-Osheaniya	オセアニア
Uhlelo Lemihlaba YeLanga	太陽系
Wikimedia Commons	ウィキメディア・コモンズ
Football Club Internazionale Milano	インテルナツィオナーレ・ミラノ
Umculo	音楽
IMoskwa	モスクワ
IsiTaliya	イタリア語
ITshedi	チャド
INyuzilandi	ニュージーランド
INdiya	インド
Ubuciko bomlomo	メルヘン
IFiji	フィジー
Venezuela	ベネズエラ
I-Amsterdami	アムステルダム
Isilwane	動物
IKolombiya	コロンビア
UbuBudha	仏教
Umthofu	銅
Leonardo da Vinci	レオナルド・ダ・ヴィンチ
Massachusetts	マサチューセッツ州
Guatemala	グアテマラ
Connecticut	コネチカット州
Hawaii	ハワイ州
Honduras	ホンジュラス
El Salvador	エルサルバドル
I-Irani	イラン
I-Iraki	イラク
Costa Rica	コスタリカ
Isreyili	イスラエル
Panama	パナマ
IYemen	イエメン
IsiPholisi	ポーランド語
Nicaragua	ニカラグア
Florida	フロリダ州
Arizona	アリゾナ州
Utah	ユタ州
IPakistani	パキスタン
Sri Lanka	スリランカ
Joseph Stalin	ヨシフ・スターリン
I-YouTube	YouTube
IViyetnami	ベトナム
I-Afganistani	アフガニスタン
Igolide	金
Bangladesh	バングラデシュ
IMali	マリ共和国
I-Angola	アンゴラ
ITanzania	タンザニア
Central African Republic	中央アフリカ共和国
ITogo	トーゴ
ITunisia	チュニジア
IZambiya	ザンビア
IZimbabwe	ジンバブエ
ISudan yaseNingizimu	南スーダン
IBenini	ベナン
IButswana	ボツワナ
IBukhina Faso	ブルキナファソ
IBurundi	ブルンジ
IsiKhomorosi	コモロ
IKongo	コンゴ共和国
IRiphabliki Labantu weKongo	コンゴ民主共和国
IJibuthi	ジブチ
IGini Enkabazwe	赤道ギニア
I-Eritrea	エリトリア
IGaboni	ガボン
IGambia	ガンビア
IGini	ギニア
IGini Bisawu	ギニアビサウ
Ugu Emhlophe	コートジボワール
IKamerooni	カメルーン
IKhepi Vedhi	カーボベルデ
OSotho	レソト
ILiberia	リベリア
ILibiya	リビア
IMadagasika	マダガスカル
IMalawi	マラウイ
IMoritaniya	モーリタニア
IMorishisi	モーリシャス
IMorokho	モロッコ
IMozambiki	モザンビーク
INamibhiya	ナミビア
INayighe	ニジェール
INigeria	ナイジェリア
IYuganda	ウガンダ
IRuwanda	ルワンダ
ISawu Tome noPhrinitshipeyi	サントメ・プリンシペ
ISenegal	セネガル
IsiSeyisheli	セーシェル
ISiera Liyoni	シエラレオネ
ISomalia	ソマリア
ISudan	スーダン
ISwazilandi	スワジランド
Amazwe Ohlangeneyo	国際連合
IPraha	プラハ
Isiliva	銀
Bill Clinton	ビル・クリントン
Usain Bolt	ウサイン・ボルト
John Lennon	ジョン・レノン
Wyoming	ワイオミング州
Idaho	アイダホ州
Washington (isifunda eMelika)	ワシントン州
Nevada	ネバダ州
Colorado	コロラド州
Chicago	シカゴ
Ama-Beatles	ビートルズ
IsiSpeyini	スペイン語
Virginia	バージニア州
New York Isifunda	ニューヨーク州
Maryland	メリーランド州
Vladimir Lenin	ウラジーミル・レーニン
Pennsylvania	ペンシルベニア州
I-Uetersen	ユーテルゼン
New Jersey	ニュージャージー州
Indiana	インディアナ州
Texas	テキサス州
ITokyo	東京都
I-Athene	アテネ
IRiga	リガ
IBhayibheli	聖書
IHochiminh	ホーチミン市
